"","County","AEA","District","District.Name","Graduation.Year","Diploma.Count","Private.4.Year.College","Public.4.Year.College","Private.2.Year.College","Community.College","Other.Training","Employment","Homemaker","Military","Unknown"
"1197","75",12,"3600","Le Mars","2015",158,15,53,56,0,4,12,0,8,10
"1198","87",13,"3609","Lenox","2015",29,1,8,11,1,3,5,0,0,0
"1199","78",13,"3645","Lewis Central","2015",220,18,72,81,0,11,25,2,6,5
"1200","16",10,"3691","North Cedar","2015",54,9,12,21,0,3,5,0,4,0
"1201","57",10,"3715","Linn-Mar","2015",461,57,215,139,4,4,17,0,5,20
"1202","57",10,"3744","Lisbon","2015",38,13,8,13,0,0,2,0,1,1
"1203","43",13,"3798","Logan-Magnolia","2015",42,6,13,15,0,1,5,0,2,0
"1204","52",10,"3816","Lone Tree","2015",27,5,11,8,0,0,3,0,0,0
"1205","58",9,"3841","Louisa-Muscatine","2015",63,3,14,32,2,0,9,0,3,0
"1207","50",11,"3906","Lynnville-Sully","2015",31,7,4,13,2,0,4,0,0,1
"1208","8",11,"3942","Madrid","2015",50,10,12,17,0,0,9,0,1,1
"1209","65",13,"3978","East Mills","2015",41,5,7,13,0,3,5,0,4,4
"1210","13",5,"4023","Manson Northwest Webster","2015",55,6,18,29,0,1,1,0,0,0
"1211","67",12,"4033","Maple Valley-Anthon Oto","2015",44,4,8,18,0,0,10,0,3,1
"1212","49",9,"4041","Maquoketa","2015",125,11,33,35,1,5,30,0,4,6
"1213","28",1,"4043","Maquoketa Valley","2015",61,8,22,23,1,0,7,0,0,0
"1214","18",12,"4068","Marcus-Meriden-Cleghorn","2015",29,5,15,7,0,0,0,0,0,2
"1215","57",10,"4086","Marion Independent","2015",133,12,34,58,0,4,18,0,5,1
"1216","64",7,"4104","Marshalltown","2015",308,20,64,136,5,4,22,0,4,53
"1217","91",11,"4122","Martensdale-St Marys","2015",34,6,8,15,0,1,3,1,0,0
"1218","17",7,"4131","Mason City","2015",254,28,53,107,3,4,13,0,10,36
"1219","84",12,"4149","MOC-Floyd Valley","2015",108,28,23,25,0,2,18,0,0,12
"1220","29",15,"4203","Mediapolis","2015",72,10,16,33,1,1,9,0,2,0
"1221","63",11,"4212","Melcher-Dallas","2015",15,1,1,6,0,0,6,0,0,1
"1222","53",10,"4269","Midland","2015",27,6,0,14,0,0,5,0,0,2
"1223","92",10,"4271","Mid-Prairie","2015",73,6,24,22,0,2,13,0,5,1
"1224","43",13,"4356","Missouri Valley","2015",69,8,17,26,0,2,12,0,3,1
"1225","22",1,"4419","MFL MarMac","2015",67,9,17,26,1,2,6,1,4,1
"1226","79",7,"4437","Montezuma","2015",22,4,7,7,0,1,1,0,2,0
"1227","53",10,"4446","Monticello","2015",82,8,34,27,0,2,2,0,1,8
"1228","4",15,"4491","Moravia","2015",25,3,3,15,0,0,4,0,0,0
"1229","93",13,"4505","Mormon Trail","2015",14,0,1,12,0,0,1,0,0,0
"1231","4",15,"4518","Moulton-Udell","2015",21,0,3,18,0,0,0,0,0,0
"1232","80",13,"4527","Mount Ayr","2015",40,5,9,16,0,0,10,0,0,0
"1233","44",15,"4536","Mount Pleasant","2015",159,11,48,60,0,3,16,0,6,15
"1234","57",10,"4554","Mount Vernon","2015",95,33,30,19,0,4,7,0,2,0
"1235","20",13,"4572","Murray","2015",25,2,4,11,0,0,3,0,0,5
"1236","70",9,"4581","Muscatine","2015",303,22,85,114,1,8,19,0,8,46
"1237","9",7,"4599","Nashua-Plainfield","2015",49,12,10,21,0,0,2,0,1,3
"1238","85",11,"4617","Nevada","2015",105,14,31,26,0,2,26,0,6,0
"1239","11",5,"4644","Newell-Fonda","2015",34,3,14,14,0,0,3,0,0,0
"1240","19",1,"4662","New Hampton","2015",76,11,13,40,0,0,7,0,3,2
"1241","44",15,"4689","New London","2015",42,4,9,18,0,0,3,0,1,7
"1242","50",11,"4725","Newton","2015",189,26,43,54,4,4,47,0,6,5
"1243","98",7,"4772","Central Springs","2015",57,3,8,39,0,1,5,0,1,0
"1244","23",9,"4773","Northeast","2015",76,15,15,26,1,1,15,0,3,0
"1245","33",1,"4774","North Fayette","2015",79,11,23,32,0,1,6,0,4,2
"1247","62",15,"4776","North Mahaska","2015",30,8,8,7,0,0,6,0,0,1
"1248","57",10,"4777","North Linn","2015",45,5,14,15,1,0,9,0,1,0
"1250","77",11,"4779","North Polk","2015",86,14,24,35,0,1,9,0,2,1
"1251","82",9,"4784","North Scott","2015",223,25,74,82,1,5,17,0,7,12
"1252","86",7,"4785","North Tama County","2015",35,2,9,14,0,0,4,0,4,2
"1254","98",7,"4788","Northwood-Kensett","2015",48,3,14,22,0,3,5,0,1,0
"1255","91",11,"4797","Norwalk","2015",211,11,88,69,0,6,16,0,9,12
"1257","33",1,"4869","Oelwein","2015",82,10,22,25,0,2,9,0,1,13
"1258","8",11,"4878","Ogden","2015",53,6,17,19,0,2,7,0,2,0
"1259","30",5,"4890","Okoboji","2015",62,14,14,19,0,4,8,0,2,1
"1261","1",13,"4978","Orient-Macksburg","2015",10,0,0,8,1,0,1,0,0,0
"1262","66",7,"4995","Osage","2015",74,2,30,31,0,2,4,0,3,2
"1263","62",15,"5013","Oskaloosa","2015",135,41,40,40,0,1,7,0,6,0
"1264","90",15,"5049","Ottumwa","2015",273,25,26,134,0,3,29,2,11,43
"1265","39",11,"5121","Panorama","2015",66,9,14,22,1,2,9,0,1,8
"1266","37",5,"5139","Paton-Churdan","2015",14,2,2,6,0,1,1,0,1,1
"1267","50",11,"5160","PCM","2015",67,9,19,19,0,1,14,0,3,2
"1268","54",15,"5163","Pekin","2015",46,6,8,32,0,0,0,0,0,0
"1269","63",11,"5166","Pella","2015",157,29,63,38,0,1,16,0,5,5
"1270","25",11,"5184","Perry","2015",133,9,31,62,0,4,9,0,3,15
"1271","82",9,"5250","Pleasant Valley","2015",294,57,125,76,2,8,17,0,3,6
"1272","63",11,"5256","Pleasantville","2015",43,7,13,12,0,3,5,0,2,1
"1273","76",5,"5283","Pocahontas Area","2015",64,6,15,26,2,1,7,1,4,2
"1274","3",1,"5310","Postville","2015",30,0,7,15,0,0,5,3,0,0
"1275","94",5,"5325","Prairie Valley","2015",76,10,10,49,0,0,6,0,0,1
"1277","69",13,"5463","Red Oak","2015",75,2,17,42,0,0,9,0,0,5
"1278","75",12,"5486","Remsen-Union","2015",24,4,6,11,0,0,2,0,1,0
"1279","45",1,"5508","Riceville","2015",13,0,4,5,0,0,3,0,1,0
"1280","78",13,"5510","Riverside","2015",41,7,9,18,0,2,3,0,1,1
"1281","84",12,"5607","Rock Valley","2015",70,7,17,30,0,4,5,1,2,4
"1282","85",11,"5643","Roland-Story","2015",66,8,27,22,0,2,5,0,2,0
"1283","34",7,"5697","Rudd-Rockford-Marble Rk","2015",42,2,6,28,0,0,4,0,1,1
"1284","74",5,"5724","Ruthven-Ayrshire","2015",14,0,1,2,0,0,1,0,0,10
"1285","66",7,"5751","St Ansgar","2015",53,6,11,27,0,3,2,0,3,1
"1286","77",11,"5805","Saydel","2015",106,21,7,42,2,0,10,0,2,22
"1289","97",12,"5877","Sergeant Bluff-Luton","2015",113,19,50,29,0,1,7,0,3,4
"1290","93",15,"5895","Seymour","2015",13,3,1,3,0,1,0,0,1,4
"1291","17",7,"5922","West Fork CSD","2015",51,3,3,35,0,0,8,0,2,0
"1292","71",12,"5949","Sheldon","2015",71,14,17,29,1,1,6,0,1,2
"1293","73",13,"5976","Shenandoah","2015",86,8,17,34,0,2,19,0,6,0
"1294","72",12,"5994","Sibley-Ocheyedan","2015",51,7,12,22,0,3,2,0,0,5
"1295","36",13,"6003","Sidney","2015",28,0,8,11,0,1,4,0,2,2
"1296","54",15,"6012","Sigourney","2015",35,4,7,20,0,1,2,0,1,0
"1297","84",12,"6030","Sioux Center","2015",60,14,20,14,0,0,7,0,5,0
"1298","11",5,"6035","Sioux Central","2015",44,10,10,10,0,1,3,0,3,7
"1299","97",12,"6039","Sioux City","2015",873,114,205,307,13,9,102,2,18,103
"1300","13",5,"6091","South Central Calhoun","2015",53,8,13,26,0,0,4,0,2,0
"1301","52",10,"6093","Solon","2015",111,14,42,35,2,0,11,0,2,5
"1302","91",11,"6094","Southeast Warren","2015",24,3,5,9,0,1,2,0,2,2
"1303","40",5,"6095","South Hamilton","2015",50,3,10,26,0,0,4,0,1,6
"1305","73",13,"6097","South Page","2015",7,0,1,3,0,0,3,0,0,0
"1306","86",7,"6098","South Tama County","2015",98,15,14,39,0,2,20,0,4,4
"1307","71",12,"6099","South O'Brien","2015",41,2,13,12,0,3,9,0,1,1
"1308","96",1,"6100","South Winneshiek","2015",57,7,15,28,0,0,6,0,1,0
"1309","77",11,"6101","Southeast Polk","2015",528,50,158,184,1,6,49,0,15,65
"1310","21",5,"6102","Spencer","2015",142,19,39,58,0,2,15,0,4,5
"1311","30",5,"6120","Spirit Lake","2015",99,7,52,27,0,1,7,0,3,2
"1312","57",10,"6138","Springville","2015",29,8,10,2,0,1,5,0,3,0
"1313","69",13,"6165","Stanton","2015",15,2,4,5,0,0,4,0,0,0
"1314","33",1,"6175","Starmont","2015",34,2,10,11,0,0,11,0,0,0
"1315","11",5,"6219","Storm Lake","2015",164,14,41,75,0,0,26,2,5,1
"1317","39",11,"6264","West Central Valley","2015",75,5,11,32,0,2,16,0,4,5
"1318","9",7,"6273","Sumner-Fredericksburg","2015",59,6,17,26,0,2,7,0,0,1
"1319","16",10,"6408","Tipton","2015",58,10,22,2,16,0,4,0,3,1
"1320","78",13,"6453","Treynor","2015",51,9,21,17,0,1,2,0,1,0
"1321","78",13,"6460","Tri-Center","2015",46,6,15,20,0,3,2,0,0,0
"1322","54",15,"6462","Tri-County","2015",19,6,2,8,0,0,3,0,0,0
"1323","9",7,"6471","Tripoli","2015",39,2,7,26,0,3,0,0,1,0
"1324","96",1,"6509","Turkey Valley","2015",24,2,6,12,0,0,4,0,0,0
"1325","63",11,"6512","Twin Cedars","2015",35,3,1,17,0,0,14,0,0,0
"1327","78",13,"6534","Underwood","2015",61,9,21,28,0,1,0,0,1,1
"1328","7",7,"6536","Union","2015",81,6,23,37,0,1,5,0,2,7
"1330","77",11,"6579","Urbandale","2015",319,48,112,109,0,4,37,0,3,6
"1332","89",15,"6592","Van Buren","2015",43,2,8,24,0,0,8,0,0,1
"1333","25",11,"6615","Van Meter","2015",58,13,20,17,0,2,4,0,2,0
"1335","6",10,"6660","Vinton-Shellsburg","2015",131,21,32,34,1,3,23,1,5,11
"1336","44",15,"6700","Waco","2015",21,0,10,3,1,0,4,0,2,1
"1337","81",5,"6741","East Sac County","2015",69,6,22,26,3,1,10,0,1,0
"1339","58",15,"6759","Wapello","2015",49,1,5,26,0,5,9,0,2,1
"1340","9",7,"6762","Wapsie Valley","2015",49,10,12,18,3,2,3,0,1,0
"1341","92",10,"6768","Washington","2015",105,7,34,37,0,5,14,0,2,6
"1342","7",7,"6795","Waterloo","2015",637,36,182,235,6,25,34,1,14,104
"1343","25",11,"6822","Waukee","2015",551,59,275,108,5,5,96,0,3,0
"1344","9",7,"6840","Waverly-Shell Rock","2015",160,49,39,52,3,1,8,0,3,5
"1345","93",15,"6854","Wayne","2015",21,2,6,7,2,1,3,0,0,0
"1346","40",5,"6867","Webster City","2015",138,9,30,75,1,1,21,0,1,0
"1347","74",5,"6921","West Bend-Mallard","2015",31,0,9,6,0,2,9,0,4,1
"1348","16",10,"6930","West Branch","2015",56,8,15,26,1,0,4,0,2,0
"1349","29",15,"6937","West Burlington Ind","2015",53,4,4,34,0,0,9,0,2,0
"1350","33",1,"6943","West Central","2015",31,4,10,7,0,2,2,1,2,3
"1351","28",1,"6950","West Delaware County","2015",121,23,35,45,0,1,4,0,5,8
"1352","77",11,"6957","West Des Moines","2015",655,84,285,168,1,10,37,0,10,60
"1353","31",1,"6961","Western Dubuque","2015",223,30,79,56,0,2,19,0,4,33
"1354","43",13,"6969","West Harrison","2015",25,1,7,12,0,0,4,0,1,0
"1355","70",9,"6975","West Liberty","2015",71,3,25,32,1,6,2,0,1,1
"1356","60",12,"6983","West Lyon","2015",41,12,14,7,0,0,5,0,1,2
"1357","64",7,"6985","West Marshall","2015",55,5,18,26,1,2,2,0,1,0
"1358","67",12,"6987","West Monona","2015",44,3,10,18,2,1,3,0,4,3
"1359","84",12,"6990","West Sioux","2015",40,4,11,16,0,0,9,0,0,0
"1360","97",12,"6992","Westwood","2015",34,5,9,4,0,1,9,0,4,2
"1361","67",12,"7002","Whiting","2015",12,3,4,3,0,0,2,0,0,0
"1362","48",10,"7029","Williamsburg","2015",85,12,27,31,0,4,5,0,0,6
"1363","70",9,"7038","Wilton","2015",50,5,8,27,0,0,8,0,2,0
"1364","44",15,"7047","Winfield-Mt Union","2015",36,8,6,15,0,1,5,0,1,0
"1365","61",11,"7056","Winterset","2015",129,6,43,56,0,3,10,0,3,8
"1366","43",13,"7092","Woodbine","2015",24,3,10,7,0,2,1,0,1,0
"1367","97",12,"7098","Woodbury Central","2015",46,5,16,17,0,3,4,0,0,1
"1368","25",11,"7110","Woodward-Granger","2015",64,6,14,31,0,4,7,0,0,2
"1369","42",7,"9","AGWSR Comm School District","2016",36,3,11,14,1,0,3,0,2,2
"1371","25",11,"27","Adel DeSoto Minburn Comm School District","2016",118,17,40,41,0,1,13,0,4,2
"1372","75",12,"63","Akron Westfield Comm School District","2016",49,5,25,10,0,2,4,0,2,1
"1374","68",15,"81","Albia Comm School District","2016",85,13,14,44,0,3,5,0,2,4
"1375","57",10,"99","Alburnett Comm School District","2016",38,3,9,19,1,0,6,0,0,0
"1377","55",5,"126","Algona Comm School District","2016",103,13,19,41,0,2,14,0,3,11
"1378","3",1,"135","Allamakee Comm School District","2016",98,7,37,38,0,0,14,0,1,1
"1379","12",7,"153","North Butler Comm School District","2016",37,6,6,17,0,0,7,0,1,0
"1380","11",5,"171","Alta Comm School District","2016",41,8,16,11,0,2,1,0,0,3
"1381","85",11,"225","Ames Comm School District","2016",279,31,155,52,1,5,0,0,5,30
"1382","53",10,"234","Anamosa Comm School District","2016",83,9,17,25,0,3,20,0,3,6
"1384","77",11,"261","Ankeny Comm School District","2016",671,85,314,172,4,10,35,0,14,37
"1385","12",7,"279","Aplington-Parkersburg Comm School District","2016",64,10,11,26,0,3,9,1,1,3
"1386","32",5,"333","North Union Comm School District","2016",50,7,10,22,0,1,4,0,2,4
"1387","24",12,"355","Ar-We-Va Comm School District","2016",17,4,4,6,0,0,2,0,1,0
"1388","15",13,"387","Atlantic Comm School District","2016",105,8,31,33,0,8,18,0,7,0
"1389","5",11,"414","Audubon Comm School District","2016",37,4,13,14,1,0,4,0,1,0
"1391","78",13,"441","AHSTW Comm School District","2016",57,8,16,17,1,2,12,0,1,0
"1392","85",11,"472","Ballard Comm School District","2016",133,14,41,48,1,2,8,0,2,17
"1393","47",12,"504","Battle Creek-Ida Grove Comm School District","2016",53,10,11,22,0,0,8,0,0,2
"1394","50",11,"513","Baxter Comm School District","2016",28,3,5,17,0,0,2,0,1,0
"1395","38",7,"540","BCLUW Comm School District","2016",46,6,13,19,0,2,4,0,2,0
"1396","87",13,"549","Bedford Comm School District","2016",40,3,7,11,0,2,10,0,3,4
"1397","6",10,"576","Belle Plaine Comm School District","2016",32,4,5,15,0,1,4,0,2,1
"1398","49",9,"585","Bellevue Comm School District","2016",47,9,10,23,0,1,3,0,1,0
"1399","99",7,"594","Belmond-Klemme Comm School District","2016",63,7,11,28,2,1,11,0,0,3
"1401","6",10,"609","Benton Comm School District","2016",111,14,33,42,0,0,19,0,2,1
"1402","82",9,"621","Bettendorf Comm School District","2016",369,43,121,133,1,6,33,0,10,21
"1403","90",15,"657","Eddyville-Blakesburg- Fremont CSD","2016",57,6,11,22,0,1,3,0,2,12
"1404","77",11,"720","Bondurant-Farrar Comm School District","2016",121,12,31,46,0,4,18,0,3,7
"1405","8",11,"729","Boone Comm School District","2016",167,19,41,64,0,3,21,0,1,18
"1406","84",12,"747","Boyden-Hull Comm School District","2016",42,10,10,10,0,0,11,0,1,0
"1407","41",7,"819","West Hancock Comm School District","2016",43,7,4,19,0,2,6,0,5,0
"1408","79",7,"846","Brooklyn-Guernsey-Malcom Comm School District","2016",41,3,9,19,1,0,1,0,0,8
"1409","95",7,"873","North Iowa Comm School District","2016",35,4,13,11,0,2,5,0,0,0
"1410","29",15,"882","Burlington Comm School District","2016",208,18,37,98,4,4,32,0,3,12
"1411","15",13,"914","CAM Comm School District","2016",76,5,12,33,3,2,19,0,1,1
"1412","48",7,"916","CAL Comm School District","2016",13,1,0,5,0,2,2,0,3,0
"1413","23",9,"918","Calamus-Wheatland Comm School District","2016",40,9,9,8,0,1,1,0,3,9
"1414","23",9,"936","Camanche Comm School District","2016",60,5,15,27,0,4,4,1,3,1
"1415","90",15,"977","Cardinal Comm School District","2016",50,1,8,21,0,0,14,0,0,6
"1416","91",11,"981","Carlisle Comm School District","2016",133,21,30,54,1,1,17,0,6,3
"1417","14",11,"999","Carroll Comm School District","2016",116,16,30,50,0,3,14,0,2,1
"1418","7",7,"1044","Cedar Falls Comm School District","2016",371,34,165,108,2,5,36,2,9,10
"1420","57",10,"1062","Center Point-Urbana Comm School District","2016",93,15,23,29,0,2,14,0,1,9
"1421","4",15,"1071","Centerville Comm School District","2016",80,5,11,38,0,1,11,0,3,11
"1422","56",15,"1079","Central Lee Comm School District","2016",71,4,11,38,0,0,9,0,3,6
"1423","22",1,"1080","Central Comm School District","2016",29,5,3,11,0,0,10,0,0,0
"1424","23",9,"1082","Central DeWitt School District","2016",117,13,37,44,1,7,3,0,5,7
"1425","57",10,"1089","Central City Comm School District","2016",36,9,7,7,1,6,6,0,0,0
"1426","27",13,"1093","Central Decatur Comm School District","2016",61,5,9,25,0,4,11,1,0,6
"1427","60",12,"1095","Central Lyon Comm School District","2016",50,7,27,4,0,3,9,0,0,0
"1428","59",15,"1107","Chariton Comm School District","2016",94,6,16,38,1,5,25,1,1,1
"1429","34",7,"1116","Charles City Comm School District","2016",116,14,29,44,0,7,7,0,5,10
"1430","24",12,"1134","Charter Oak-Ute Comm School District","2016",25,2,8,12,0,0,3,0,0,0
"1431","18",12,"1152","Cherokee Comm School District","2016",61,6,27,15,0,0,9,0,3,1
"1432","73",13,"1197","Clarinda Comm School District","2016",77,4,24,30,0,4,12,0,3,0
"1433","99",5,"1206","Clarion-Goldfield-Dows Comm School District","2016",73,3,11,41,2,0,5,0,1,9
"1434","20",13,"1211","Clarke Comm School District","2016",74,5,11,32,0,1,19,0,2,4
"1435","12",7,"1215","Clarksville Comm School District","2016",18,3,5,6,0,0,4,0,0,0
"1436","21",5,"1218","Clay Central-Everly Comm School District","2016",21,3,0,12,0,0,4,0,0,2
"1437","52",10,"1221","Clear Creek Amana Comm School District","2016",144,9,42,58,2,3,23,0,4,3
"1438","17",7,"1233","Clear Lake Comm School District","2016",64,8,21,26,0,0,4,0,5,0
"1439","23",9,"1278","Clinton Comm School District","2016",250,23,37,118,0,22,41,0,9,0
"1440","50",11,"1332","Colfax-Mingo Comm School District","2016",38,6,7,18,0,0,5,0,1,1
"1441","57",10,"1337","College Comm School District","2016",342,58,114,93,3,8,20,0,12,34
"1442","85",11,"1350","Collins-Maxwell Comm School District","2016",36,3,7,22,0,1,2,0,0,1
"1443","85",11,"1359","Colo-NESCO Comm School District","2016",35,5,9,9,0,0,8,0,2,2
"1444","58",9,"1368","Columbus Comm School District","2016",51,2,6,32,0,3,5,2,0,1
"1445","14",11,"1413","Coon Rapids-Bayard Comm School District","2016",28,4,3,14,2,0,5,0,0,0
"1446","2",13,"1431","Corning Comm School District","2016",54,5,5,31,0,1,7,0,4,1
"1447","78",13,"1476","Council Bluffs Comm School District","2016",588,30,112,235,2,14,123,3,24,43
"1448","88",13,"1503","Creston Comm School District","2016",98,16,26,34,1,0,17,1,2,1
"1449","25",11,"1576","Dallas Center-Grimes Comm School District","2016",183,21,63,77,0,4,9,0,4,5
"1450","29",15,"1602","Danville Comm School District","2016",48,7,4,27,0,0,8,0,2,0
"1451","82",9,"1611","Davenport Comm School District","2016",972,66,209,398,7,51,108,2,42,89
"1452","26",15,"1619","Davis County Comm School District","2016",96,9,21,43,1,5,13,0,4,0
"1453","96",1,"1638","Decorah Community School District","2016",124,32,37,41,2,1,9,0,1,1
"1455","24",12,"1701","Denison Comm School District","2016",186,16,37,70,0,2,30,0,2,29
"1456","9",7,"1719","Denver Comm School District","2016",53,6,28,15,0,0,3,0,1,0
"1458","80",13,"1782","Diagonal Comm School District","2016",9,0,0,9,0,0,0,0,0,0
"1459","38",7,"1791","Dike-New Hartford Comm School District","2016",71,6,31,28,0,2,3,0,0,1
"1460","31",1,"1863","Dubuque Comm School District","2016",764,135,190,246,5,29,130,4,20,5
"1461","7",7,"1908","Dunkerton Comm School District","2016",28,2,10,10,0,0,6,0,0,0
"1462","43",13,"1917","Boyer Valley Comm School District","2016",33,3,5,22,0,0,2,0,1,0
"1463","16",9,"1926","Durant Comm School District","2016",43,8,8,22,0,0,5,0,0,0
"1464","99",5,"1944","Eagle Grove Comm School District","2016",58,3,8,29,0,1,9,0,3,5
"1465","61",11,"1953","Earlham Comm School District","2016",48,8,10,19,0,1,7,0,3,0
"1466","10",7,"1963","East Buchanan Comm School District","2016",35,6,5,10,1,0,10,0,3,0
"1467","49",9,"1965","Easton Valley Comm School District","2016",45,0,9,21,1,5,5,0,1,3
"1468","64",7,"1968","East Marshall Comm School District","2016",62,6,16,31,0,0,3,0,6,0
"1469","88",13,"1970","East Union Comm School District","2016",35,0,9,17,0,2,6,0,1,0
"1470","3",1,"1972","Eastern Allamakee Comm School District","2016",41,2,13,19,1,2,3,0,0,1
"1471","97",12,"1975","River Valley Comm School District","2016",24,2,6,10,0,1,4,0,0,1
"1472","28",1,"1989","Edgewood-Colesburg Comm School District","2016",36,2,10,18,1,0,3,0,0,2
"1473","42",7,"2007","Eldora-New Providence Comm School District","2016",68,11,10,30,0,3,4,1,3,6
"1474","74",5,"2088","Emmetsburg Comm School District","2016",55,5,9,28,0,2,7,0,2,2
"1475","48",10,"2097","English Valleys Comm School District","2016",38,1,6,16,0,0,7,0,3,5
"1476","73",13,"2113","Essex Comm School District","2016",32,2,3,16,0,0,9,0,1,1
"1477","32",5,"2124","Estherville Lincoln Central Com Sch Dist","2016",90,3,14,48,1,3,19,0,2,0
"1478","83",11,"2151","Exira-Elk Horn- Kimballton Comm Sch Dist","2016",44,4,9,22,2,2,4,0,0,1
"1479","51",15,"2169","Fairfield Comm School District","2016",114,15,26,46,0,4,7,0,2,14
"1480","95",7,"2295","Forest City Comm School District","2016",83,14,18,28,0,0,18,0,4,1
"1481","94",5,"2313","Fort Dodge Comm School District","2016",224,8,36,131,0,4,22,1,5,17
"1482","56",15,"2322","Fort Madison Comm School District","2016",138,8,19,57,0,4,33,1,10,6
"1483","36",13,"2369","Fremont-Mills Comm School District","2016",38,3,8,17,0,2,2,0,0,6
"1484","47",12,"2376","Galva-Holstein Comm School District","2016",40,4,9,17,0,0,9,0,1,0
"1485","41",7,"2403","Garner-Hayfield-Ventura Comm School District","2016",85,3,22,43,0,1,13,0,2,1
"1486","60",12,"2457","George-Little Rock Comm School District","2016",34,5,5,14,0,0,7,0,1,2
"1487","85",11,"2466","Gilbert Comm School District","2016",107,9,69,16,0,0,4,0,2,7
"1489","38",7,"2502","Gladbrook-Reinbeck Comm School District","2016",39,6,8,18,0,3,3,0,0,1
"1490","65",13,"2511","Glenwood Comm School District","2016",140,8,41,50,0,11,8,0,5,17
"1491","14",11,"2520","Glidden-Ralston Comm School District","2016",30,0,12,11,0,2,2,0,3,0
"1492","74",5,"2556","Graettinger-Terril Comm School District","2016",26,0,6,16,0,0,4,0,0,0
"1493","1",13,"2673","Nodaway Valley Comm School District","2016",52,10,15,16,0,1,3,0,1,6
"1494","86",7,"2682","GMG Comm School District","2016",36,0,6,23,3,0,4,0,0,0
"1495","79",7,"2709","Grinnell-Newburg Comm School District","2016",99,23,22,34,2,5,9,0,2,2
"1496","15",13,"2718","Griswold Comm School District","2016",43,5,10,16,0,3,6,0,2,1
"1497","38",7,"2727","Grundy Center Comm School District","2016",50,3,15,25,0,2,4,0,0,1
"1498","39",11,"2754","Guthrie Center Comm School District","2016",49,5,10,14,0,3,13,0,2,2
"1499","22",1,"2763","Clayton Ridge Comm School District","2016",65,12,12,15,0,2,13,0,5,6
"1500","48",10,"2766","H-L-V Comm School District","2016",23,1,10,5,2,0,3,0,2,0
"1502","35",7,"2781","Hampton-Dumont Comm School District","2016",77,2,12,44,3,0,10,0,0,6
"1503","83",13,"2826","Harlan Comm School District","2016",126,12,46,35,3,3,16,0,7,4
"1505","30",5,"2846","Harris-Lake Park Comm School District","2016",25,0,8,11,0,1,4,0,1,0
"1506","71",12,"2862","Hartley-Melvin-Sanborn Comm School District","2016",44,5,9,23,1,0,1,2,2,1
"1507","92",10,"2977","Highland Comm School District","2016",54,1,14,26,0,0,7,0,0,6
"1508","75",12,"2988","Hinton Comm School District","2016",60,13,21,15,0,0,9,0,2,0
"1509","45",1,"3029","Howard-Winneshiek Comm School District","2016",106,12,28,47,0,1,16,0,1,1
"1511","7",7,"3042","Hudson Comm School District","2016",34,1,18,9,0,0,3,0,2,1
"1512","46",5,"3060","Humboldt Comm School District","2016",118,20,33,49,0,6,5,0,2,3
"1513","10",7,"3105","Independence Comm School District","2016",110,4,34,49,0,0,13,0,1,9
"1514","91",11,"3114","Indianola Comm School District","2016",264,51,68,94,0,12,23,0,2,14
"1515","61",11,"3119","Interstate 35 Comm School District","2016",53,8,11,23,0,3,4,0,4,0
"1516","52",10,"3141","Iowa City Comm School District","2016",890,151,368,228,1,13,41,0,7,81
"1517","42",7,"3150","Iowa Falls Comm School District","2016",99,11,27,40,0,1,14,0,4,2
"1518","48",10,"3154","Iowa Valley Comm School District","2016",29,4,7,12,1,0,4,0,0,1
"1519","14",13,"3168","IKM-Manning Comm School District","2016",54,7,18,24,0,0,4,0,1,0
"1520","9",7,"3186","Janesville Consolidated School District","2016",21,4,9,8,0,0,0,0,0,0
"1521","37",5,"3195","Greene County Comm School District","2016",90,2,21,39,0,2,20,0,4,2
"1522","10",7,"3204","Jesup Comm School District","2016",42,3,9,24,0,1,3,0,2,0
"1523","77",11,"3231","Johnston Comm School District","2016",490,63,215,147,1,11,36,0,4,13
"1524","56",15,"3312","Keokuk Comm School District","2016",152,9,33,49,2,7,15,1,11,25
"1525","54",15,"3330","Keota Comm School District","2016",17,0,6,9,0,0,0,0,2,0
"1526","75",12,"3348","Kingsley-Pierson Comm School District","2016",36,2,16,13,0,1,4,0,0,0
"1527","63",11,"3375","Knoxville Comm School District","2016",132,18,34,47,0,10,16,1,3,3
"1528","95",7,"3420","Lake Mills Comm School District","2016",51,8,13,25,1,0,3,0,0,1
"1529","27",13,"3465","Lamoni Comm School District","2016",14,5,4,3,0,1,0,0,0,1
"1530","76",5,"3537","Laurens-Marathon Comm School District","2016",13,1,4,5,0,0,1,0,0,2
"1531","97",12,"3555","Lawton-Bronson Comm School District","2016",39,6,18,10,1,0,3,0,1,0
"1532","75",12,"3600","Le Mars Comm School District","2016",151,13,49,61,0,0,16,0,2,10
"1533","87",13,"3609","Lenox Comm School District","2016",35,0,7,15,0,1,8,0,1,3
"1534","78",13,"3645","Lewis Central Comm School District","2016",196,14,69,68,0,13,15,0,15,2
"1535","16",10,"3691","North Cedar Comm School District","2016",64,9,11,22,1,6,13,0,2,0
"1536","57",10,"3715","Linn-Mar Comm School District","2016",462,57,219,115,0,23,14,0,14,20
"1537","57",10,"3744","Lisbon Comm School District","2016",40,11,15,10,0,0,4,0,0,0
"1538","43",13,"3798","Logan-Magnolia Comm School District","2016",41,3,12,20,0,0,3,0,3,0
