"","district","district_name","overall_dropout","overall_enrollments","overall_rate","f_dropout","f_enrollments","f_rate","m_dropout","m_enrollments","m_rate","year"
"1367",2124,"Estherville Lincoln Central Com Sch Dist",13,580,2.24,5,289,1.73,8,291,2.75,2020
"1368",2151,"Exira-Elk Horn- Kimballton Comm Sch Dist",1,160,0.63,0,76,0,1,84,1.19,2020
"1369",2169,"Fairfield Comm School District",28,770,3.64,13,351,3.7,15,419,3.58,2020
"1370",2295,"Forest City Comm School District",18,480,3.75,5,235,2.13,13,245,5.31,2020
"1371",2313,"Fort Dodge Comm School District",110,1646,6.68,47,759,6.19,63,887,7.1,2020
"1372",2322,"Fort Madison Comm School District",33,845,3.91,16,444,3.6,17,401,4.24,2020
"1373",2369,"Fremont-Mills Comm School District",1,217,0.46,0,108,0,1,109,0.92,2020
"1374",2376,"Galva-Holstein Comm School District",4,227,1.76,0,108,0,4,119,3.36,2020
"1375",2403,"Garner-Hayfield-Ventura Comm School District",3,454,0.66,2,209,0.96,1,245,0.41,2020
"1376",2457,"George-Little Rock Comm School District",4,179,2.23,0,86,0,4,93,4.3,2020
"1377",2466,"Gilbert Comm School District",4,781,0.51,0,377,0,4,404,0.99,2020
"1378",2502,"Gladbrook-Reinbeck Comm School District",2,206,0.97,2,101,1.98,0,105,0,2020
"1379",2511,"Glenwood Comm School District",12,898,1.34,5,421,1.19,7,477,1.47,2020
"1380",2520,"Glidden-Ralston Comm School District",2,132,1.52,0,56,0,2,76,2.63,2020
"1381",2556,"Graettinger-Terril Comm School District",1,157,0.64,0,72,0,1,85,1.18,2020
"1382",2673,"Nodaway Valley Comm School District",2,300,0.67,1,159,0.63,1,141,0.71,2020
"1383",2682,"GMG Comm School District",2,225,0.89,0,121,0,2,104,1.92,2020
"1384",2709,"Grinnell-Newburg Comm School District",22,732,3.01,8,347,2.31,14,385,3.64,2020
"1385",2718,"Griswold Comm School District",3,204,1.47,0,111,0,3,93,3.23,2020
"1386",2727,"Grundy Center Comm School District",3,338,0.89,1,166,0.6,2,172,1.16,2020
"1387",2754,"Guthrie Center Comm School District",10,228,4.39,1,100,1,9,128,7.03,2020
"1388",2763,"Clayton Ridge Comm School District",24,747,3.21,13,414,3.14,11,333,3.3,2020
"1389",2766,"H-L-V Comm School District",3,150,2,1,67,1.49,2,83,2.41,2020
"1390",2772,"Hamburg Comm School District",0,21,0,0,0,0,0,13,0,2020
"1391",2781,"Hampton-Dumont Comm School District",12,657,1.83,6,286,2.1,6,371,1.62,2020
"1392",2826,"Harlan Comm School District",8,732,1.09,0,352,0,8,380,2.11,2020
"1393",2846,"Harris-Lake Park Comm School District",6,156,3.85,3,70,4.29,3,86,3.49,2020
"1394",2862,"Hartley-Melvin-Sanborn Comm School District",3,281,1.07,1,137,0.73,2,144,1.39,2020
"1395",2977,"Highland  Comm School District",5,261,1.92,2,123,1.63,3,138,2.17,2020
"1396",2988,"Hinton Comm School District",0,347,0,0,164,0,0,183,0,2020
"1397",3029,"Howard-Winneshiek Comm School District",7,588,1.19,1,266,0.38,6,322,1.86,2020
"1398",3033,"Hubbard-Radcliffe Comm School District",0,145,0,0,66,0,0,79,0,2020
"1399",3042,"Hudson Comm School District",1,359,0.28,1,178,0.56,0,181,0,2020
"1400",3060,"Humboldt Comm School District",18,746,2.41,6,357,1.68,12,389,3.08,2020
"1401",3105,"Independence Comm School District",16,683,2.34,3,332,0.9,13,351,3.7,2020
"1402",3114,"Indianola Comm School District",15,1704,0.88,7,872,0.8,8,832,0.96,2020
"1403",3119,"Interstate 35 Comm School District",2,397,0.5,0,185,0,2,212,0.94,2020
"1404",3141,"Iowa City Comm School District",127,6527,1.95,64,3243,1.97,63,3284,1.92,2020
"1405",3150,"Iowa Falls Comm School District",5,600,0.83,3,299,1,2,301,0.66,2020
"1406",3154,"Iowa Valley Comm School District",0,247,0,0,128,0,0,119,0,2020
"1407",3168,"IKM-Manning Comm School District",3,292,1.03,1,139,0.72,2,153,1.31,2020
"1408",3186,"Janesville Consolidated School District",3,161,1.86,2,82,2.44,1,79,1.27,2020
"1409",3195,"Greene County Comm School District",4,543,0.74,2,255,0.78,2,288,0.69,2020
"1410",3204,"Jesup Comm School District",2,438,0.46,0,219,0,2,219,0.91,2020
"1411",3231,"Johnston Comm School District",12,3369,0.36,3,1580,0.19,9,1789,0.5,2020
"1412",3312,"Keokuk Comm School District",19,856,2.22,7,408,1.72,12,448,2.68,2020
"1413",3330,"Keota Comm School District",2,132,1.52,1,52,1.92,1,80,1.25,2020
"1414",3348,"Kingsley-Pierson Comm School District",2,205,0.98,1,111,0.9,1,94,1.06,2020
"1415",3375,"Knoxville Comm School District",12,764,1.57,7,379,1.85,5,385,1.3,2020
"1416",3420,"Lake Mills Comm School District",5,323,1.55,2,163,1.23,2,159,1.26,2020
"1417",3465,"Lamoni Comm School District",2,148,1.35,2,70,2.86,0,78,0,2020
"1418",3555,"Lawton-Bronson Comm School District",2,304,0.66,1,140,0.71,1,164,0.61,2020
"1419",3600,"Le Mars Comm School District",18,1038,1.73,8,492,1.63,10,546,1.83,2020
"1420",3609,"Lenox Comm School District",3,221,1.36,1,106,0.94,2,115,1.74,2020
"1421",3645,"Lewis Central Comm School District",15,1387,1.08,7,680,1.03,8,707,1.13,2020
"1422",3691,"North Cedar Comm School District",1,294,0.34,0,136,0,1,158,0.63,2020
"1423",3715,"Linn-Mar Comm School District",34,3389,1,15,1657,0.91,19,1732,1.1,2020
"1424",3744,"Lisbon Comm School District",4,290,1.38,1,130,0.77,3,160,1.88,2020
"1425",3798,"Logan-Magnolia Comm School District",1,293,0.34,1,148,0.68,0,145,0,2020
"1426",3816,"Lone Tree Comm School District",3,224,1.34,2,107,1.87,1,117,0.85,2020
"1427",3841,"Louisa-Muscatine Comm School District",10,388,2.58,6,191,3.14,4,197,2.03,2020
"1428",3906,"Lynnville-Sully Comm School District",1,241,0.41,0,108,0,1,133,0.75,2020
"1429",3942,"Madrid Comm School District",3,309,0.97,0,142,0,3,167,1.8,2020
"1430",3978,"East Mills Comm School District",1,222,0.45,0,107,0,1,115,0.87,2020
"1431",4023,"Manson Northwest Webster Comm School District",9,353,2.55,2,168,1.19,7,185,3.78,2020
"1432",4033,"Maple Valley-Anthon Oto Comm School District",3,357,0.84,2,168,1.19,1,189,0.53,2020
"1433",4041,"Maquoketa Comm School District",16,761,2.1,5,372,1.34,11,389,2.83,2020
"1434",4043,"Maquoketa Valley Comm School District",1,296,0.34,1,158,0.63,0,138,0,2020
"1435",4068,"Marcus-Meriden-Cleghorn Comm School District",0,174,0,0,95,0,0,79,0,2020
"1436",4086,"Marion Independent School District",9,1044,0.86,1,514,0.19,8,530,1.51,2020
"1437",4104,"Marshalltown Comm School District",88,2358,3.73,31,1137,2.73,57,1221,4.67,2020
"1438",4122,"Martensdale-St Marys Comm School District",6,252,2.38,1,112,0.89,5,140,3.57,2020
"1439",4131,"Mason City Comm School District",57,1636,3.48,27,789,3.42,30,847,3.54,2020
"1440",4149,"MOC-Floyd Valley Comm School District",9,681,1.32,2,338,0.59,7,343,2.04,2020
"1441",4203,"Mediapolis Comm School District",2,403,0.5,1,181,0.55,1,222,0.45,2020
"1442",4212,"Melcher-Dallas Comm School District",1,168,0.6,0,86,0,1,82,1.22,2020
"1443",4269,"Midland Comm School District",0,246,0,0,123,0,0,123,0,2020
"1444",4271,"Mid-Prairie Comm School District",13,608,2.14,3,297,1.01,10,311,3.22,2020
"1445",4356,"Missouri Valley Comm School District",4,363,1.1,1,173,0.58,3,190,1.58,2020
"1446",4419,"MFL MarMac Comm School District",2,359,0.56,1,159,0.63,1,200,0.5,2020
"1447",4437,"Montezuma Comm School District",1,221,0.45,1,123,0.81,0,98,0,2020
"1448",4446,"Monticello Comm School District",5,543,0.92,1,263,0.38,4,280,1.43,2020
"1449",4491,"Moravia Comm School District",1,194,0.52,1,88,1.14,0,106,0,2020
"1450",4505,"Mormon Trail Comm School District",1,90,1.11,0,48,0,1,42,2.38,2020
"1451",4518,"Moulton-Udell Comm School District",0,86,0,0,41,0,0,45,0,2020
"1452",4527,"Mount Ayr Comm School District",3,284,1.06,3,146,2.05,0,138,0,2020
"1453",4536,"Mount Pleasant Comm School District",14,880,1.59,4,444,0.9,10,436,2.29,2020
"1454",4554,"Mount Vernon Comm School District",4,658,0.61,2,336,0.6,2,322,0.62,2020
"1455",4572,"Murray Comm School District",0,125,0,0,59,0,0,66,0,2020
"1456",4581,"Muscatine Comm School District",89,2223,4,31,1141,2.72,58,1082,5.36,2020
"1457",4599,"Nashua-Plainfield Comm School District",2,279,0.72,0,132,0,2,147,1.36,2020
"1458",4617,"Nevada Comm School District",1,714,0.14,0,342,0,1,372,0.27,2020
"1459",4644,"Newell-Fonda Comm School District",4,247,1.62,2,126,1.59,2,121,1.65,2020
"1460",4662,"New Hampton Comm School District",8,488,1.64,5,249,2.01,3,239,1.26,2020
"1461",4689,"New London Comm School District",6,250,2.4,6,116,5.17,0,134,0,2020
"1462",4725,"Newton Comm School District",50,1371,3.65,24,690,3.48,26,681,3.82,2020
"1463",4772,"Central Springs Comm School District",4,335,1.19,1,159,0.63,3,176,1.7,2020
"1464",4773,"Northeast Comm School District",1,424,0.24,1,224,0.45,0,200,0,2020
"1465",4774,"North Fayette Valley Comm School District",6,474,1.27,3,217,1.38,3,257,1.17,2020
"1466",4776,"North Mahaska Comm School District",2,264,0.76,1,127,0.79,1,137,0.73,2020
"1467",4777,"North Linn Comm School District",3,278,1.08,1,140,0.71,2,138,1.45,2020
"1468",4778,"North Kossuth Comm School District",0,99,0,0,49,0,0,50,0,2020
"1469",4779,"North Polk Comm School District",1,863,0.12,1,422,0.24,0,441,0,2020
"1470",4784,"North Scott Comm School District",15,1492,1.01,6,733,0.82,9,759,1.19,2020
"1471",4785,"North Tama County Comm School District",3,214,1.4,0,95,0,3,119,2.52,2020
"1472",4788,"Northwood-Kensett Comm School District",2,240,0.83,0,104,0,2,136,1.47,2020
"1473",4797,"Norwalk Comm School District",3,1480,0.2,1,710,0.14,2,770,0.26,2020
"1474",4860,"Odebolt Arthur Battle Creek Ida Grove Comm School District",8,466,1.72,3,217,1.38,5,249,2.01,2020
"1475",4869,"Oelwein Comm School District",16,575,2.78,7,268,2.61,9,307,2.93,2020
"1476",4878,"Ogden Comm School District",2,334,0.6,2,145,1.38,0,189,0,2020
"1477",4890,"Okoboji Comm School District",10,522,1.92,5,260,1.92,5,262,1.91,2020
"1478",4978,"Orient-Macksburg Comm School District",1,74,1.35,0,36,0,1,38,2.63,2020
"1479",4995,"Osage Comm School District",0,441,0,0,214,0,0,227,0,2020
"1480",5013,"Oskaloosa Comm School District",17,939,1.81,8,431,1.86,9,508,1.77,2020
"1481",5049,"Ottumwa Comm School District",44,2023,2.17,13,984,1.32,31,1039,2.98,2020
"1482",5121,"Panorama Comm School District",8,361,2.22,3,179,1.68,5,182,2.75,2020
"1483",5139,"Paton-Churdan Comm School District",0,97,0,0,50,0,0,47,0,2020
"1484",5160,"PCM Comm School District",2,513,0.39,0,226,0,2,287,0.7,2020
"1485",5163,"Pekin Comm School District",3,326,0.92,3,161,1.86,0,165,0,2020
"1486",5166,"Pella Comm School District",4,1083,0.37,0,510,0,4,573,0.7,2020
"1487",5184,"Perry Comm School District",17,821,2.07,7,379,1.85,10,442,2.26,2020
"1488",5250,"Pleasant Valley Comm School District",10,2369,0.42,6,1167,0.51,4,1202,0.33,2020
"1489",5256,"Pleasantville Comm School District",1,330,0.3,0,147,0,1,183,0.55,2020
"1490",5283,"Pocahontas Area Comm School District",11,414,2.66,2,204,0.98,9,210,4.29,2020
"1491",5310,"Postville Comm School District",4,352,1.14,2,171,1.17,2,181,1.1,2020
"1492",5325,"Prairie Valley Comm School District",0,313,0,0,135,0,0,178,0,2020
"1493",5463,"Red Oak Comm School District",14,481,2.91,4,244,1.64,10,237,4.22,2020
"1494",5486,"Remsen-Union Comm School District",0,98,0,0,44,0,0,54,0,2020
"1495",5508,"Riceville Comm School District",0,155,0,0,74,0,0,81,0,2020
"1496",5510,"Riverside Comm School District",4,260,1.54,0,116,0,4,144,2.78,2020
"1497",5607,"Rock Valley Comm School District",1,403,0.25,0,190,0,1,213,0.47,2020
"1498",5643,"Roland-Story Comm School District",5,491,1.02,2,232,0.86,3,259,1.16,2020
"1499",5697,"Rudd-Rockford-Marble Rk Comm School District",1,210,0.48,0,97,0,1,113,0.88,2020
"1500",5724,"Ruthven-Ayrshire Comm School District",1,84,1.19,0,47,0,1,37,2.7,2020
"1501",5751,"St Ansgar Comm School District",1,261,0.38,1,137,0.73,0,124,0,2020
"1502",5805,"Saydel Comm School District",9,639,1.41,3,303,0.99,6,336,1.79,2020
"1503",5823,"Schaller-Crestland Comm School District",0,129,0,0,49,0,0,80,0,2020
"1504",5832,"Schleswig Comm School District",0,45,0,0,20,0,0,25,0,2020
"1505",5877,"Sergeant Bluff-Luton Comm School District",2,776,0.26,0,376,0,2,400,0.5,2020
"1506",5895,"Seymour Comm School District",0,115,0,0,58,0,0,57,0,2020
"1507",5922,"West Fork Comm School District",5,299,1.67,2,139,1.44,3,160,1.88,2020
"1508",5949,"Sheldon Comm School District",12,531,2.26,5,251,1.99,7,280,2.5,2020
"1509",5976,"Shenandoah Comm School District",7,470,1.49,3,211,1.42,4,259,1.54,2020
"1510",5994,"Sibley-Ocheyedan Comm School District",9,374,2.41,3,182,1.65,6,192,3.13,2020
"1511",6003,"Sidney Comm School District",3,242,1.24,0,112,0,3,130,2.31,2020
"1512",6012,"Sigourney Comm School District",1,256,0.39,1,130,0.77,0,126,0,2020
"1513",6030,"Sioux Center Comm School District",25,649,3.85,9,324,2.78,16,325,4.92,2020
"1514",6035,"Sioux Central Comm School District",11,389,2.83,0,161,0,11,228,4.82,2020
"1515",6039,"Sioux City Comm School District",111,6644,1.67,47,3256,1.44,64,3388,1.89,2020
"1516",6091,"South Central Calhoun Comm School District",2,360,0.56,1,181,0.55,1,179,0.56,2020
"1517",6093,"Solon Comm School District",2,736,0.27,1,358,0.28,1,378,0.26,2020
"1518",6094,"Southeast Warren Comm School District",6,243,2.47,2,113,1.77,4,130,3.08,2020
"1519",6095,"South Hamilton Comm School District",6,340,1.76,1,170,0.59,5,170,2.94,2020
"1520",6096,"Southeast Webster Grand Comm School District",0,167,0,0,84,0,0,83,0,2020
"1521",6097,"South Page Comm School District",1,60,1.67,0,26,0,1,34,2.94,2020
"1522",6098,"South Tama County",19,709,2.68,7,326,2.15,12,383,3.13,2020
"1523",6099,"South O'Brien  Comm School District",5,274,1.82,2,121,1.65,3,153,1.96,2020
"1524",6100,"South Winneshiek Comm School District",0,261,0,0,109,0,0,152,0,2020
"1525",6101,"Southeast Polk Comm School District",44,3331,1.32,19,1630,1.17,25,1701,1.47,2020
"1526",6102,"Spencer Comm School District",14,1062,1.32,8,526,1.52,6,536,1.12,2020
"1527",6120,"Spirit Lake Comm School District",4,564,0.71,2,278,0.72,2,286,0.7,2020
"1528",6138,"Springville Comm School District",4,195,2.05,3,94,3.19,1,101,0.99,2020
"1529",6165,"Stanton Comm School District",0,110,0,0,52,0,0,58,0,2020
"1530",6175,"Starmont Comm School District",1,278,0.36,0,141,0,1,137,0.73,2020
"1531",6219,"Storm Lake Comm School District",48,1221,3.93,18,592,3.04,30,629,4.77,2020
"1532",6264,"West Central Valley Comm School District",7,387,1.81,2,186,1.08,5,201,2.49,2020
"1533",6273,"Sumner-Fredericksburg Comm School District",1,388,0.26,0,210,0,1,178,0.56,2020
"1534",6408,"Tipton Comm School District",7,486,1.44,4,248,1.61,3,238,1.26,2020
"1535",6453,"Treynor Comm School District",1,389,0.26,1,198,0.51,0,191,0,2020
"1536",6460,"Tri-Center Comm School District",2,316,0.63,0,156,0,2,160,1.25,2020
"1537",6462,"Tri-County Comm School District",2,110,1.82,1,58,1.72,1,52,1.92,2020
"1538",6471,"Tripoli Comm School District",2,184,1.09,1,95,1.05,1,89,1.12,2020
"1539",6509,"Turkey Valley Comm School District",1,176,0.57,0,87,0,1,89,1.12,2020
"1540",6512,"Twin Cedars Comm School District",5,149,3.36,1,60,1.67,4,89,4.49,2020
"1541",6534,"Underwood Comm School District",1,373,0.27,1,169,0.59,0,204,0,2020
"1542",6536,"Union Comm School District",3,471,0.64,1,214,0.47,2,257,0.78,2020
"1543",6579,"Urbandale Comm School District",4,1952,0.2,1,936,0.11,3,1016,0.3,2020
"1544",6592,"Van Buren County Comm School District",9,354,2.54,4,162,2.47,5,192,2.6,2020
"1545",6615,"Van Meter Comm School District",2,393,0.51,1,177,0.56,1,216,0.46,2020
"1546",6651,"Villisca Comm School District",0,114,0,0,61,0,0,53,0,2020
"1547",6660,"Vinton-Shellsburg Comm School District",19,653,2.91,10,349,2.87,9,304,2.96,2020
"1548",6700,"Waco Comm School District",3,212,1.42,0,95,0,3,117,2.56,2020
"1549",6741,"East Sac County Comm School District",4,370,1.08,3,191,1.57,1,179,0.56,2020
"1550",6759,"Wapello Comm School District",5,289,1.73,3,134,2.24,2,155,1.29,2020
"1551",6762,"Wapsie Valley Comm School District",0,318,0,0,146,0,0,172,0,2020
"1552",6768,"Washington Comm School District",23,736,3.13,10,354,2.82,13,382,3.4,2020
"1553",6795,"Waterloo Comm School District",127,4763,2.67,57,2369,2.41,70,2394,2.92,2020
"1554",6822,"Waukee Comm School District",10,4943,0.2,6,2435,0.25,4,2508,0.16,2020
"1555",6840,"Waverly-Shell Rock Comm School District",13,1145,1.14,6,525,1.14,7,620,1.13,2020
"1556",6854,"Wayne Comm School District",1,254,0.39,1,129,0.78,0,125,0,2020
"1557",6867,"Webster City Comm School District",27,866,3.12,9,403,2.23,18,463,3.89,2020
"1558",6921,"West Bend-Mallard Comm School District",3,172,1.74,1,86,1.16,2,86,2.33,2020
"1559",6930,"West Branch Comm School District",2,361,0.55,0,166,0,2,195,1.03,2020
"1560",6937,"West Burlington Ind School District",19,461,4.12,7,240,2.92,12,221,5.43,2020
"1561",6943,"West Central Comm School District",0,121,0,0,64,0,0,57,0,2020
"1562",6950,"West Delaware County Comm School District",9,729,1.23,3,356,0.84,6,373,1.61,2020
"1563",6957,"West Des Moines Comm School District",60,4247,1.41,19,2043,0.93,41,2204,1.86,2020
"1564",6961,"Western Dubuque Comm School District",8,1651,0.48,2,800,0.25,6,851,0.71,2020
"1565",6969,"West Harrison Comm School District",2,139,1.44,0,64,0,2,75,2.67,2020
"1566",6975,"West Liberty Comm School District",8,550,1.45,3,262,1.15,5,288,1.74,2020
"1567",6983,"West Lyon Comm School District",1,445,0.22,1,208,0.48,0,237,0,2020
"1568",6985,"West Marshall Comm School District",3,478,0.63,0,250,0,3,228,1.32,2020
"1569",6987,"West Monona Comm School District",7,302,2.32,3,153,1.96,4,149,2.68,2020
"1570",6990,"West Sioux Comm School District",3,386,0.78,2,188,1.06,1,198,0.51,2020
"1571",6992,"Westwood Comm School District",0,283,0,0,141,0,0,142,0,2020
"1572",7002,"Whiting Comm School District",2,86,2.33,2,44,4.55,0,42,0,2020
"1573",7029,"Williamsburg Comm School District",0,582,0,0,294,0,0,288,0,2020
"1574",7038,"Wilton Comm School District",5,401,1.25,3,186,1.61,2,215,0.93,2020
"1575",7047,"Winfield-Mt Union Comm School District",3,204,1.47,2,97,2.06,1,107,0.93,2020
"1576",7056,"Winterset Comm School District",2,809,0.25,2,382,0.52,0,427,0,2020
"1577",7092,"Woodbine Comm School District",1,203,0.49,1,82,1.22,0,121,0,2020
"1578",7098,"Woodbury Central Comm School District",2,286,0.7,1,148,0.68,1,138,0.72,2020
"1579",7110,"Woodward-Granger Comm School District",3,385,0.78,2,187,1.07,1,198,0.51,2020
