"","district","district_name","overall_dropout","overall_enrollments","overall_rate","f_dropout","f_enrollments","f_rate","m_dropout","m_enrollments","m_rate","year"
"1309",999,"Carroll Comm School District",12,827,1.45,4,382,1.05,8,445,1.8,2020
"1310",1044,"Cedar Falls Comm School District",26,2572,1.01,9,1220,0.74,17,1352,1.26,2020
"1311",1053,"Cedar Rapids Comm School District",224,7128,3.14,89,3489,2.55,135,3638,3.71,2020
"1312",1062,"Center Point-Urbana Comm School District",9,708,1.27,3,335,0.9,6,373,1.61,2020
"1313",1071,"Centerville Comm School District",8,589,1.36,4,287,1.39,4,302,1.32,2020
"1314",1079,"Central Lee Comm School District",3,490,0.61,1,242,0.41,2,248,0.81,2020
"1315",1080,"Central Comm School District",2,206,0.97,1,117,0.85,1,89,1.12,2020
"1316",1082,"Central DeWitt School District",8,761,1.05,3,339,0.88,5,422,1.18,2020
"1317",1089,"Central City Comm School District",5,212,2.36,1,111,0.9,4,101,3.96,2020
"1318",1093,"Central Decatur Comm School District",3,344,0.87,2,163,1.23,1,181,0.55,2020
"1319",1095,"Central Lyon Comm School District",1,342,0.29,0,159,0,1,183,0.55,2020
"1320",1107,"Chariton Comm School District",6,573,1.05,1,284,0.35,5,289,1.73,2020
"1321",1116,"Charles City Comm School District",28,831,3.37,12,410,2.93,16,421,3.8,2020
"1322",1134,"Charter Oak-Ute Comm School District",0,50,0,0,26,0,0,24,0,2020
"1323",1152,"Cherokee Comm School District",5,497,1.01,1,264,0.38,4,233,1.72,2020
"1324",1197,"Clarinda Comm School District",7,474,1.48,4,209,1.91,3,265,1.13,2020
"1325",1206,"Clarion-Goldfield-Dows Comm School District",6,440,1.36,3,229,1.31,3,211,1.42,2020
"1326",1211,"Clarke Comm School District",15,637,2.35,4,283,1.41,11,354,3.11,2020
"1327",1215,"Clarksville Comm School District",1,130,0.77,0,67,0,1,63,1.59,2020
"1328",1221,"Clear Creek Amana Comm School District",18,1091,1.65,10,515,1.94,8,576,1.39,2020
"1329",1233,"Clear Lake Comm School District",16,660,2.42,4,318,1.26,12,342,3.51,2020
"1330",1278,"Clinton Comm School District",58,1465,3.96,27,696,3.88,31,769,4.03,2020
"1331",1332,"Colfax-Mingo Comm School District",5,338,1.48,0,173,0,5,165,3.03,2020
"1332",1337,"College Comm School District",33,2540,1.3,11,1224,0.9,22,1316,1.67,2020
"1333",1350,"Collins-Maxwell Comm School District",2,181,1.1,0,81,0,2,100,2,2020
"1334",1359,"Colo-NESCO  Comm School District",1,192,0.52,0,86,0,1,106,0.94,2020
"1335",1368,"Columbus Comm School District",3,294,1.02,1,130,0.77,2,164,1.22,2020
"1336",1413,"Coon Rapids-Bayard Comm School District",0,180,0,0,88,0,0,92,0,2020
"1337",1431,"Corning Comm School District",3,194,1.55,1,95,1.05,2,99,2.02,2020
"1338",1476,"Council Bluffs Comm School District",107,3938,2.72,37,1887,1.96,70,2051,3.41,2020
"1339",1503,"Creston Comm School District",9,741,1.21,5,355,1.41,4,386,1.04,2020
"1340",1576,"Dallas Center-Grimes Comm School District",14,1404,1,7,723,0.97,7,681,1.03,2020
"1341",1602,"Danville  Comm School District",2,309,0.65,2,140,1.43,0,169,0,2020
"1342",1611,"Davenport Comm School District",264,6690,3.95,105,3305,3.18,159,3385,4.7,2020
"1343",1619,"Davis County Comm School District",2,603,0.33,2,296,0.68,0,307,0,2020
