"","Graduating.Class","Fall.Freshman.Year","District","District.Name","Graduates","Total.Cohort","Graduation.Rate","Graduation.Rate.Category"
"831",2009,2005,4869,"Oelwein",115,124,92.7,"90.1 - 100%"
"832",2017,2013,5166,"Pella",178,183,97.3,"90.1 - 100%"
"833",2014,2010,5607,"Rock Valley",44,46,95.7,"90.1 - 100%"
"834",2016,2012,1503,"Creston",119,125,95.2,"90.1 - 100%"
"835",2009,2005,261,"Ankeny",439,461,95.2,"90.1 - 100%"
"836",2015,2011,1116,"Charles City",107,117,91.5,"90.1 - 100%"
"837",2014,2010,4617,"Nevada",80,87,92,"90.1 - 100%"
"838",2011,2007,3105,"Independence",95,106,89.6,"80.1 - 90%"
"839",2016,2012,4617,"Nevada",99,102,97.1,"90.1 - 100%"
"840",2010,2006,441,"A-H-S-T",41,43,95.4,"90.1 - 100%"
"841",2010,2006,1917,"Boyer Valley",32,34,94.1,"90.1 - 100%"
"842",2013,2009,4104,"Marshalltown",288,353,81.6,"80.1 - 90%"
"843",2009,2005,6536,"Union",90,104,86.5,"80.1 - 90%"
"844",2010,2006,1093,"Central Decatur",64,65,98.5,"90.1 - 100%"
"845",2012,2008,6100,"South Winneshiek",69,70,98.6,"90.1 - 100%"
"846",2010,2006,4033,"Maple Valley",62,69,89.9,"80.1 - 90%"
"847",2017,2013,6095,"South Hamilton",53,56,94.6,"90.1 - 100%"
"848",2016,2012,6030,"Sioux Center",58,64,90.6,"90.1 - 100%"
"849",2009,2005,6943,"West Central",22,22,100,"90.1 - 100%"
"850",2013,2009,5250,"Pleasant Valley",280,292,95.9,"90.1 - 100%"
"851",2014,2010,3978,"East Mills",31,33,93.9,"90.1 - 100%"
"852",2014,2010,5922,"West Fork",53,55,96.4,"90.1 - 100%"
"853",2010,2006,3744,"Lisbon",36,36,100,"90.1 - 100%"
"854",2016,2012,5922,"West Fork",53,53,100,"90.1 - 100%"
"855",2015,2011,6536,"Union",93,97,95.9,"90.1 - 100%"
"856",2009,2005,6091,"Southern Cal",51,53,96.2,"90.1 - 100%"
"857",2009,2005,6822,"Waukee",299,306,97.7,"90.1 - 100%"
"858",2009,2005,3841,"Louisa-Muscatine",71,77,92.2,"90.1 - 100%"
"859",2009,2005,6969,"West Harrison",35,41,85.4,"80.1 - 90%"
"860",2017,2013,6840,"Waverly-Shell Rock",141,158,89.2,"80.1 - 90%"
"861",2015,2011,27,"Adel DeSoto Minburn",114,119,95.8,"90.1 - 100%"
"862",2016,2012,873,"North Iowa",28,29,96.6,"90.1 - 100%"
"863",2016,2012,6741,"East Sac County",70,74,94.6,"90.1 - 100%"
"864",2016,2012,936,"Camanche",79,87,90.8,"90.1 - 100%"
"865",2012,2008,7092,"Woodbine",31,32,96.9,"90.1 - 100%"
"866",2010,2006,1968,"East Marshall",72,75,96,"90.1 - 100%"
"867",2014,2010,6961,"Western Dubuque",242,250,96.8,"90.1 - 100%"
"868",2017,2013,585,"Bellevue",45,48,93.8,"90.1 - 100%"
"869",2009,2005,1332,"Colfax-Mingo",61,65,93.9,"90.1 - 100%"
"870",2011,2007,4437,"Montezuma",25,30,83.3,"80.1 - 90%"
"871",2017,2013,6093,"Solon",91,93,97.9,"90.1 - 100%"
"872",2009,2005,6516,"Twin Rivers",23,25,92,"90.1 - 100%"
"873",2015,2011,6035,"Sioux Central",40,46,87,"80.1 - 90%"
"874",2009,2005,4617,"Nevada",111,118,94.1,"90.1 - 100%"
"875",2009,2005,2322,"Fort Madison",144,182,79.1,"70.1 - 80%"
"877",2012,2008,916,"CAL",21,23,91.3,"90.1 - 100%"
"878",2009,2005,4446,"Monticello",87,92,94.6,"90.1 - 100%"
"879",2013,2009,1134,"Charter Oak-Ute",22,22,100,"90.1 - 100%"
"881",2017,2013,1095,"Central Lyon",48,48,100,"90.1 - 100%"
"882",2009,2005,6741,"Wall Lake View Auburn",71,79,89.9,"80.1 - 90%"
"883",2011,2007,729,"Boone",149,171,87.1,"80.1 - 90%"
"884",2009,2005,1093,"Central Decatur",49,52,94.2,"90.1 - 100%"
"885",2014,2010,3609,"Lenox",24,27,88.9,"80.1 - 90%"
"886",2009,2005,6840,"Waverly-Shell Rock",156,170,91.8,"90.1 - 100%"
"887",2013,2009,6592,"Van Buren",33,38,86.8,"80.1 - 90%"
"888",2016,2012,6138,"Springville",28,28,100,"90.1 - 100%"
"889",2014,2010,1970,"East Union",25,26,96.2,"90.1 - 100%"
"890",2017,2013,846,"Brooklyn-Guernsey-Malcom",40,40,100,"90.1 - 100%"
"891",2009,2005,6795,"Waterloo",570,807,70.6,"70.1 - 80%"
"892",2011,2007,6660,"Vinton-Shellsburg",110,140,78.6,"70.1 - 80%"
"893",2015,2011,6408,"Tipton",48,56,85.7,"80.1 - 90%"
"894",2016,2012,1116,"Charles City",106,109,97.3,"90.1 - 100%"
"895",2017,2013,1476,"Council Bluffs",550,622,88.4,"80.1 - 90%"
"896",2010,2006,999,"Carroll",121,134,90.3,"90.1 - 100%"
"897",2016,2012,3060,"Humboldt",87,99,87.9,"80.1 - 90%"
"898",2011,2007,6987,"West Monona",48,52,92.3,"90.1 - 100%"
"899",2011,2007,6516,"Twin Rivers",13,14,92.9,"90.1 - 100%"
"900",2013,2009,6741,"East Sac County",60,60,100,"90.1 - 100%"
"901",2014,2010,3906,"Lynnville-Sully",40,40,100,"90.1 - 100%"
"902",2010,2006,3600,"Le Mars",165,174,94.8,"90.1 - 100%"
"903",2014,2010,1719,"Denver",53,54,98.2,"90.1 - 100%"
"904",2012,2008,4599,"Nashua-Plainfield",53,58,91.4,"90.1 - 100%"
"905",2016,2012,135,"Allamakee",99,102,97.1,"90.1 - 100%"
"906",2017,2013,7029,"Williamsburg",91,93,97.9,"90.1 - 100%"
"907",2016,2012,4203,"Mediapolis",64,70,91.4,"90.1 - 100%"
"908",2014,2010,2124,"Estherville Lincoln Central",76,87,87.4,"80.1 - 90%"
"909",2009,2005,4033,"Maple Valley",74,84,88.1,"80.1 - 90%"
"910",2011,2007,6035,"Sioux Central",53,57,93,"90.1 - 100%"
"911",2015,2011,171,"Alta",41,41,100,"90.1 - 100%"
"912",2015,2011,2846,"Harris-Lake Park",11,11,100,"90.1 - 100%"
"913",2012,2008,576,"Belle Plaine",33,39,84.6,"80.1 - 90%"
"914",2011,2007,3420,"Lake Mills",42,45,93.3,"90.1 - 100%"
"915",2016,2012,5643,"Roland-Story",66,67,98.5,"90.1 - 100%"
"916",2017,2013,5724,"Ruthven-Ayrshire",14,14,100,"90.1 - 100%"
"917",2015,2011,1221,"Clear Creek Amana",127,144,88.2,"80.1 - 90%"
"918",2013,2009,2977,"Highland",43,46,93.5,"90.1 - 100%"
"919",2016,2012,6536,"Union",80,84,95.2,"90.1 - 100%"
"920",2012,2008,4776,"North Mahaska",40,46,87,"80.1 - 90%"
"921",2015,2011,63,"Akron Westfield",33,33,100,"90.1 - 100%"
"922",2015,2011,6840,"Waverly-Shell Rock",130,138,94.2,"90.1 - 100%"
"923",2009,2005,5922,"Sheffield-Chapin",73,73,100,"90.1 - 100%"
"924",2010,2006,3465,"Lamoni",21,28,75,"70.1 - 80%"
"925",2014,2010,5994,"Sibley-Ocheyedan",54,56,96.4,"90.1 - 100%"
"926",2017,2013,6099,"South O'Brien",41,50,82,"80.1 - 90%"
"927",2015,2011,5994,"Sibley-Ocheyedan",45,45,100,"90.1 - 100%"
"928",2017,2013,5976,"Shenandoah",78,81,96.3,"90.1 - 100%"
"929",2009,2005,6102,"Spencer",152,174,87.4,"80.1 - 90%"
"930",2013,2009,1218,"Clay Central-Everly",19,19,100,"90.1 - 100%"
"931",2015,2011,819,"West Hancock",35,43,81.4,"80.1 - 90%"
"932",2014,2010,6969,"West Harrison",33,34,97.1,"90.1 - 100%"
"933",2014,2010,3715,"Linn-Mar",378,413,91.5,"90.1 - 100%"
"934",2017,2013,3168,"IKM-Manning",54,55,98.2,"90.1 - 100%"
"935",2014,2010,4797,"Norwalk",118,121,97.5,"90.1 - 100%"
"936",2016,2012,540,"BCLUW",49,50,98,"90.1 - 100%"
"937",2016,2012,6990,"West Sioux",38,40,95,"90.1 - 100%"
"938",2009,2005,6990,"West Sioux",42,52,80.8,"80.1 - 90%"
"940",2013,2009,4131,"Mason City",235,262,89.7,"80.1 - 90%"
"941",2009,2005,3141,"Iowa City",662,715,92.6,"90.1 - 100%"
"943",2009,2005,6592,"Van Buren",44,55,80,"70.1 - 80%"
"944",2013,2009,6273,"Sumner",55,57,96.5,"90.1 - 100%"
"945",2014,2010,7029,"Williamsburg",95,104,91.4,"90.1 - 100%"
"946",2017,2013,4797,"Norwalk",180,187,96.3,"90.1 - 100%"
"947",2009,2005,81,"Albia",75,81,92.6,"90.1 - 100%"
"948",2010,2006,7092,"Woodbine",32,34,94.1,"90.1 - 100%"
"949",2016,2012,6759,"Wapello",47,50,94,"90.1 - 100%"
"950",2011,2007,6097,"South Page",10,12,83.3,"80.1 - 90%"
"951",2011,2007,6100,"South Winneshiek",59,63,93.7,"90.1 - 100%"
"952",2009,2005,1044,"Cedar Falls",307,332,92.5,"90.1 - 100%"
"953",2012,2008,3798,"Logan-Magnolia",49,51,96.1,"90.1 - 100%"
"954",2014,2010,4878,"Ogden",50,52,96.2,"90.1 - 100%"
"955",2011,2007,225,"Ames",309,330,93.6,"90.1 - 100%"
"956",2012,2008,2834,"Harmony",16,23,69.6,"60.1 - 70%"
"957",2011,2007,5976,"Shenandoah",73,83,88,"80.1 - 90%"
"958",2015,2011,2763,"Clayton Ridge",59,68,86.8,"80.1 - 90%"
"959",2016,2012,5160,"PCM",65,69,94.2,"90.1 - 100%"
"960",2009,2005,1449,"Corwith-Wesley",22,23,95.7,"90.1 - 100%"
"961",2017,2013,6975,"West Liberty",84,90,93.3,"90.1 - 100%"
"962",2010,2006,472,"Ballard",112,118,94.9,"90.1 - 100%"
"963",2016,2012,3114,"Indianola",284,297,95.6,"90.1 - 100%"
"964",2011,2007,4995,"Osage",94,97,96.9,"90.1 - 100%"
"965",2015,2011,4518,"Moulton-Udell",11,11,100,"90.1 - 100%"
"966",2010,2006,4772,"North Central",74,75,98.7,"90.1 - 100%"
"967",2014,2010,4572,"Murray",21,22,95.5,"90.1 - 100%"
"968",2010,2006,981,"Carlisle",96,104,92.3,"90.1 - 100%"
"969",2013,2009,1197,"Clarinda",62,70,88.6,"80.1 - 90%"
"970",2012,2008,5121,"Panorama",48,48,100,"90.1 - 100%"
"971",2011,2007,2457,"George-Little Rock",33,34,97.1,"90.1 - 100%"
"972",2011,2007,2754,"Guthrie Center",46,52,88.5,"80.1 - 90%"
"973",2013,2009,5697,"Rudd-Rockford-Marble Rk",34,35,97.1,"90.1 - 100%"
"974",2012,2008,882,"Burlington",209,286,73.1,"70.1 - 80%"
"975",2011,2007,2403,"Garner-Hayfield",64,67,95.5,"90.1 - 100%"
"976",2011,2007,6983,"West Lyon",51,52,98.1,"90.1 - 100%"
"977",2014,2010,2369,"Fremont-Mills",23,24,95.8,"90.1 - 100%"
"978",2015,2011,609,"Benton",112,116,96.6,"90.1 - 100%"
"979",2014,2010,3029,"Howard-Winneshiek",103,110,93.6,"90.1 - 100%"
"981",2014,2010,6460,"Tri-Center",55,58,94.8,"90.1 - 100%"
"982",2011,2007,3375,"Knoxville",144,166,86.8,"80.1 - 90%"
"983",2013,2009,6937,"West Burlington",38,43,88.4,"80.1 - 90%"
"984",2017,2013,1619,"Davis County",94,98,95.9,"90.1 - 100%"
"985",2014,2010,4689,"New London",38,41,92.7,"90.1 - 100%"
"986",2009,2005,6867,"Webster City",103,112,92,"90.1 - 100%"
"987",2013,2009,3691,"North Cedar",53,60,88.3,"80.1 - 90%"
"988",2017,2013,936,"Camanche",59,70,84.3,"80.1 - 90%"
"989",2012,2008,6460,"Tri-Center",46,49,93.9,"90.1 - 100%"
"990",2012,2008,4689,"New London",26,31,83.9,"80.1 - 90%"
"991",2009,2005,6094,"Southeast Warren",43,45,95.6,"90.1 - 100%"
"992",2010,2006,2457,"George-Little Rock",33,33,100,"90.1 - 100%"
"993",2010,2006,1079,"Central Lee",93,105,88.6,"80.1 - 90%"
"994",2009,2005,4572,"Murray",18,19,94.7,"90.1 - 100%"
"995",2017,2013,2988,"Hinton",60,61,98.4,"90.1 - 100%"
"996",2011,2007,1970,"East Union",35,37,94.6,"90.1 - 100%"
"997",2015,2011,4356,"Missouri Valley",57,57,100,"90.1 - 100%"
"998",2009,2005,6579,"Urbandale",289,302,95.7,"90.1 - 100%"
"999",2010,2006,1989,"Edgewood-Colesburg",48,48,100,"90.1 - 100%"
"1000",2013,2009,4773,"Northeast",65,69,94.2,"90.1 - 100%"
"1001",2017,2013,4437,"Montezuma",50,52,96.2,"90.1 - 100%"
"1002",2009,2005,4689,"New London",38,42,90.5,"90.1 - 100%"
"1003",2016,2012,5949,"Sheldon",69,74,93.2,"90.1 - 100%"
"1004",2013,2009,4662,"New Hampton",89,95,93.7,"90.1 - 100%"
"1005",2009,2005,1071,"Centerville",127,143,88.8,"80.1 - 90%"
"1006",2009,2005,1972,"Eastern Allamakee",40,41,97.6,"90.1 - 100%"
"1007",2017,2013,5607,"Rock Valley",44,47,93.6,"90.1 - 100%"
"1008",2017,2013,1368,"Columbus",44,52,84.6,"80.1 - 90%"
"1009",2012,2008,2007,"Eldora-New Providence",62,70,88.6,"80.1 - 90%"
"1010",2011,2007,3609,"Lenox",20,24,83.3,"80.1 - 90%"
"1012",2016,2012,3744,"Lisbon",36,39,92.3,"90.1 - 100%"
"1013",2011,2007,99,"Alburnett",44,48,91.7,"90.1 - 100%"
"1014",2013,2009,720,"Bondurant-Farrar",81,81,100,"90.1 - 100%"
"1015",2011,2007,4068,"Marcus-Meriden-Cleghorn",29,34,85.3,"80.1 - 90%"
"1016",2012,2008,585,"Bellevue",58,58,100,"90.1 - 100%"
"1017",2009,2005,609,"Benton",109,121,90.1,"Not Reportable"
"1018",2010,2006,5510,"Riverside",53,56,94.6,"90.1 - 100%"
"1019",2016,2012,4779,"North Polk",87,87,100,"90.1 - 100%"
"1020",2014,2010,6759,"Wapello",55,61,90.2,"90.1 - 100%"
"1021",2010,2006,3204,"Jesup",61,65,93.9,"90.1 - 100%"
"1024",2015,2011,6854,"Wayne",35,35,100,"90.1 - 100%"
"1025",2017,2013,7092,"Woodbine",23,23,100,"90.1 - 100%"
"1026",2011,2007,1967,"East Greene",21,23,91.3,"90.1 - 100%"
"1027",2015,2011,3841,"Louisa-Muscatine",59,66,89.4,"80.1 - 90%"
"1028",2017,2013,1211,"Clarke",71,82,86.6,"80.1 - 90%"
"1029",2015,2011,1968,"East Marshall",59,65,90.8,"90.1 - 100%"
"1030",2016,2012,6762,"Wapsie Valley",50,52,96.2,"90.1 - 100%"
"1031",2017,2013,3816,"Lone Tree",27,29,93.1,"90.1 - 100%"
"1032",2014,2010,1071,"Centerville",86,96,89.6,"80.1 - 90%"
"1033",2010,2006,3330,"Keota",29,29,100,"90.1 - 100%"
"1034",2009,2005,1350,"Collins-Maxwell",36,38,94.7,"90.1 - 100%"
"1035",2016,2012,1337,"College",285,308,92.5,"90.1 - 100%"
"1036",2013,2009,1082,"Central DeWitt",107,112,95.5,"90.1 - 100%"
"1037",2015,2011,914,"CAM",48,63,76.2,"70.1 - 80%"
"1038",2017,2013,1968,"East Marshall",62,64,96.9,"90.1 - 100%"
"1039",2010,2006,6975,"West Liberty",71,83,85.5,"80.1 - 90%"
"1040",2012,2008,1053,"Cedar Rapids",1040,1256,82.8,"80.1 - 90%"
"1041",2012,2008,1576,"Dallas Center-Grimes",116,121,95.9,"90.1 - 100%"
"1042",2015,2011,6030,"Sioux Center",69,78,88.5,"80.1 - 90%"
"1043",2016,2012,3537,"Laurens-Marathon",21,21,100,"90.1 - 100%"
"1044",2014,2010,261,"Ankeny",558,592,94.3,"90.1 - 100%"
"1045",2010,2006,99,"Alburnett",35,38,92.1,"90.1 - 100%"
"1046",2009,2005,441,"A-H-S-T",34,39,87.2,"80.1 - 90%"
"1047",2011,2007,1619,"Davis County",69,79,87.3,"80.1 - 90%"
"1048",2011,2007,4043,"Maquoketa Valley",56,56,100,"90.1 - 100%"
"1049",2011,2007,1965,"East Central",36,38,94.7,"90.1 - 100%"
"1050",2017,2013,3420,"Lake Mills",50,52,96.2,"90.1 - 100%"
"1051",2014,2010,2977,"Highland",38,45,84.4,"80.1 - 90%"
"1052",2011,2007,171,"Alta",39,46,84.8,"80.1 - 90%"
"1053",2017,2013,4995,"Osage",77,81,95.1,"90.1 - 100%"
"1054",2013,2009,3060,"Humboldt",92,101,91.1,"90.1 - 100%"
"1055",2016,2012,1215,"Clarksville",22,25,88,"80.1 - 90%"
"1056",2015,2011,4772,"Central Springs",50,52,96.2,"90.1 - 100%"
"1057",2016,2012,4777,"North Linn",46,47,97.9,"90.1 - 100%"
"1058",2017,2013,4149,"MOC-Floyd Valley",106,110,96.4,"90.1 - 100%"
"1059",2011,2007,5508,"Riceville",27,28,96.4,"90.1 - 100%"
"1060",2011,2007,3150,"Iowa Falls",82,92,89.1,"80.1 - 90%"
"1061",2011,2007,720,"Bondurant-Farrar",94,96,97.9,"90.1 - 100%"
"1062",2013,2009,6975,"West Liberty",69,75,92,"90.1 - 100%"
"1063",2013,2009,6660,"Vinton-Shellsburg",109,123,88.6,"80.1 - 90%"
"1064",2017,2013,3105,"Independence",106,112,94.6,"90.1 - 100%"
"1065",2017,2013,6969,"West Harrison",25,28,89.3,"80.1 - 90%"
"1066",2016,2012,1701,"Denison",167,188,88.8,"80.1 - 90%"
"1067",2015,2011,1278,"Clinton",205,242,84.7,"80.1 - 90%"
"1068",2010,2006,4505,"Mormon Trail",15,16,93.8,"90.1 - 100%"
"1069",2015,2011,729,"Boone",169,187,90.4,"90.1 - 100%"
"1070",2017,2013,414,"Audubon",37,38,97.4,"90.1 - 100%"
"1071",2011,2007,5463,"Red Oak",71,81,87.7,"80.1 - 90%"
"1072",2013,2009,2846,"Harris-Lake Park",15,17,88.2,"80.1 - 90%"
"1073",2014,2010,4041,"Maquoketa",101,119,84.9,"80.1 - 90%"
"1075",2016,2012,5697,"Rudd-Rockford-Marble Rk",42,42,100,"90.1 - 100%"
"1076",2013,2009,1963,"East Buchanan",38,41,92.7,"90.1 - 100%"
"1077",2016,2012,4505,"Mormon Trail",13,14,92.9,"90.1 - 100%"
"1078",2011,2007,1503,"Creston",90,96,93.8,"90.1 - 100%"
"1079",2016,2012,5013,"Oskaloosa",130,153,85,"80.1 - 90%"
"1080",2010,2006,5486,"Remsen-Union",24,25,96,"90.1 - 100%"
"1081",2016,2012,1719,"Denver",54,57,94.7,"90.1 - 100%"
"1082",2013,2009,1107,"Chariton",88,98,89.8,"80.1 - 90%"
"1083",2014,2010,6795,"Waterloo",517,697,74.2,"70.1 - 80%"
"1084",2010,2006,1737,"Des Moines Independent",1572,2003,78.5,"70.1 - 80%"
"1085",2010,2006,6165,"Stanton",24,25,96,"90.1 - 100%"
"1086",2013,2009,504,"Battle Creek-Ida Grove",67,69,97.1,"90.1 - 100%"
"1087",2015,2011,4043,"Maquoketa Valley",42,44,95.5,"90.1 - 100%"
"1088",2014,2010,2511,"Glenwood",137,149,92,"90.1 - 100%"
"1089",2014,2010,4554,"Mount Vernon",81,91,89,"80.1 - 90%"
"1090",2017,2013,4527,"Mount Ayr",37,38,97.4,"90.1 - 100%"
"1091",2015,2011,6969,"West Harrison",31,31,100,"90.1 - 100%"
"1092",2009,2005,6750,"Walnut",11,13,84.6,"80.1 - 90%"
"1093",2011,2007,540,"BCLUW",39,42,92.9,"90.1 - 100%"
"1094",2012,2008,540,"BCLUW",57,65,87.7,"80.1 - 90%"
"1095",2010,2006,6867,"Webster City",122,129,94.6,"90.1 - 100%"
"1097",2016,2012,2781,"Hampton-Dumont",80,85,94.1,"90.1 - 100%"
"1098",2016,2012,1611,"Davenport",872,1044,83.5,"80.1 - 90%"
"1099",2009,2005,2988,"Hinton",53,54,98.2,"90.1 - 100%"
"1100",2011,2007,1431,"Corning",42,45,93.3,"90.1 - 100%"
"1101",2012,2008,6273,"Sumner",58,62,93.6,"90.1 - 100%"
"1102",2014,2010,6012,"Sigourney",40,43,93,"90.1 - 100%"
"1103",2013,2009,4269,"Midland",29,35,82.9,"80.1 - 90%"
"1104",2009,2005,3645,"Lewis Central",173,194,89.2,"80.1 - 90%"
"1105",2015,2011,1791,"Dike-New Hartford",49,49,100,"90.1 - 100%"
"1106",2010,2006,3841,"Louisa-Muscatine",70,80,87.5,"80.1 - 90%"
"1107",2011,2007,261,"Ankeny",469,505,92.9,"90.1 - 100%"
"1108",2011,2007,6264,"West Central Valley",57,61,93.4,"90.1 - 100%"
"1109",2014,2010,5697,"Rudd-Rockford-Marble Rk",34,37,91.9,"90.1 - 100%"
"1110",2014,2010,3816,"Lone Tree",29,31,93.6,"90.1 - 100%"
"1111",2011,2007,747,"Boyden-Hull",47,52,90.4,"90.1 - 100%"
"1112",2011,2007,1134,"Charter Oak-Ute",25,30,83.3,"80.1 - 90%"
"1113",2017,2013,2502,"Gladbrook-Reinbeck",38,38,100,"90.1 - 100%"
"1114",2009,2005,4518,"Moulton-Udell",23,23,100,"90.1 - 100%"
"1115",2013,2009,1431,"Corning",38,39,97.4,"90.1 - 100%"
"1116",2010,2006,6099,"South O'Brien",57,61,93.4,"90.1 - 100%"
"1117",2016,2012,7110,"Woodward-Granger",57,59,96.6,"90.1 - 100%"
"1119",2012,2008,1970,"East Union",28,29,96.6,"90.1 - 100%"
"1120",2015,2011,3609,"Lenox",34,36,94.4,"90.1 - 100%"
"1121",2012,2008,4536,"Mount Pleasant",132,151,87.4,"80.1 - 90%"
"1122",2016,2012,6408,"Tipton",56,63,88.9,"80.1 - 90%"
"1123",2015,2011,6768,"Washington",107,117,91.5,"90.1 - 100%"
"1124",2015,2011,6741,"East Sac County",67,69,97.1,"90.1 - 100%"
"1125",2011,2007,1926,"Durant",59,64,92.2,"90.1 - 100%"
"1126",2010,2006,2977,"Highland",41,45,91.1,"90.1 - 100%"
"1127",2017,2013,2977,"Highland",48,55,87.3,"80.1 - 90%"
"1128",2013,2009,1968,"East Marshall",53,59,89.8,"80.1 - 90%"
"1129",2011,2007,4776,"North Mahaska",37,38,97.4,"90.1 - 100%"
"1130",2010,2006,6012,"Sigourney",35,52,67.3,"60.1 - 70%"
"1131",2017,2013,2151,"Exira-Elk Horn-Kimballton",44,45,97.8,"90.1 - 100%"
"1132",2016,2012,333,"North Union",35,37,94.6,"90.1 - 100%"
"1133",2017,2013,6762,"Wapsie Valley",45,45,100,"90.1 - 100%"
"1134",2014,2010,3465,"Lamoni",26,30,86.7,"80.1 - 90%"
"1135",2015,2011,3978,"East Mills",32,33,97,"90.1 - 100%"
"1136",2015,2011,9,"AGWSR",44,45,97.8,"90.1 - 100%"
"1137",2011,2007,6854,"Wayne",55,59,93.2,"90.1 - 100%"
"1138",2017,2013,3537,"Laurens-Marathon",13,15,86.7,"80.1 - 90%"
"1139",2017,2013,549,"Bedford",40,42,95.2,"90.1 - 100%"
"1140",2009,2005,7083,"Woden-Crystal Lake",18,20,90,"80.1 - 90%"
"1141",2016,2012,1053,"Cedar Rapids",979,1167,83.9,"80.1 - 90%"
"1142",2016,2012,3029,"Howard-Winneshiek",97,102,95.1,"90.1 - 100%"
"1143",2009,2005,4212,"Melcher-Dallas",32,37,86.5,"80.1 - 90%"
"1144",2011,2007,472,"Ballard",113,116,97.4,"90.1 - 100%"
"1145",2009,2005,2502,"Gladbrook-Reinbeck",66,68,97.1,"90.1 - 100%"
"1146",2016,2012,1989,"Edgewood-Colesburg",42,43,97.7,"90.1 - 100%"
"1147",2013,2009,5877,"Sergeant Bluff-Luton",103,105,98.1,"90.1 - 100%"
"1148",2015,2011,1089,"Central City",40,44,90.9,"90.1 - 100%"
"1149",2011,2007,6012,"Sigourney",29,46,63,"60.1 - 70%"
"1150",2012,2008,2466,"Gilbert",83,85,97.7,"90.1 - 100%"
"1151",2011,2007,999,"Carroll",122,135,90.4,"90.1 - 100%"
"1152",2013,2009,3119,"Interstate 35",64,66,97,"90.1 - 100%"
"1153",2011,2007,3715,"Linn-Mar",375,421,89.1,"80.1 - 90%"
"1154",2015,2011,4995,"Osage",69,70,98.6,"90.1 - 100%"
"1155",2015,2011,576,"Belle Plaine",25,27,92.6,"90.1 - 100%"
"1156",2013,2009,3195,"Jefferson-Scranton",77,85,90.6,"90.1 - 100%"
"1157",2013,2009,2376,"Galva-Holstein",55,57,96.5,"90.1 - 100%"
"1158",2016,2012,5994,"Sibley-Ocheyedan",51,58,87.9,"80.1 - 90%"
"1159",2016,2012,977,"Cardinal",41,45,91.1,"90.1 - 100%"
"1160",2012,2008,1350,"Collins-Maxwell",34,36,94.4,"90.1 - 100%"
"1161",2009,2005,1107,"Chariton",121,130,93.1,"90.1 - 100%"
"1162",2016,2012,3465,"Lamoni",14,14,100,"90.1 - 100%"
"1163",2015,2011,2520,"Glidden-Ralston",25,25,100,"90.1 - 100%"
"1164",2012,2008,6768,"Washington",109,128,85.2,"80.1 - 90%"
"1165",2017,2013,5949,"Sheldon",69,83,83.1,"80.1 - 90%"
"1166",2014,2010,9,"AGWSR",46,46,100,"90.1 - 100%"
"1167",2014,2010,3555,"Lawton-Bronson",40,40,100,"90.1 - 100%"
"1168",2013,2009,1989,"Edgewood-Colesburg",43,45,95.6,"90.1 - 100%"
"1169",2016,2012,6264,"West Central Valley",72,72,100,"90.1 - 100%"
"1170",2013,2009,6700,"Waco",31,36,86.1,"80.1 - 90%"
"1171",2014,2010,6975,"West Liberty",75,79,94.9,"90.1 - 100%"
"1172",2017,2013,1197,"Clarinda",71,73,97.3,"90.1 - 100%"
"1173",2013,2009,5976,"Shenandoah",60,74,81.1,"80.1 - 90%"
"1174",2013,2009,1611,"Davenport",773,978,79,"70.1 - 80%"
"1175",2016,2012,5486,"Remsen-Union",23,25,92,"90.1 - 100%"
"1176",2011,2007,936,"Camanche",47,63,74.6,"70.1 - 80%"
"1177",2009,2005,6509,"Turkey Valley",63,63,100,"90.1 - 100%"
"1178",2014,2010,4772,"Central Springs",66,72,91.7,"90.1 - 100%"
"1179",2013,2009,3537,"Laurens-Marathon",24,28,85.7,"80.1 - 90%"
"1180",2014,2010,1278,"Clinton",220,254,86.6,"80.1 - 90%"
"1181",2012,2008,1791,"Dike-New Hartford",52,52,100,"90.1 - 100%"
"1182",2011,2007,3231,"Johnston",397,413,96.1,"90.1 - 100%"
"1183",2017,2013,2682,"GMG",36,40,90,"80.1 - 90%"
"1184",2010,2006,1215,"Clarksville",19,22,86.4,"80.1 - 90%"
"1185",2011,2007,6175,"Starmont",50,55,90.9,"90.1 - 100%"
"1186",2017,2013,6102,"Spencer",113,127,89,"80.1 - 90%"
"1187",2010,2006,423,"Aurelia",26,26,100,"90.1 - 100%"
"1188",2009,2005,3609,"Lenox",24,26,92.3,"90.1 - 100%"
"1189",2016,2012,5049,"Ottumwa",249,299,83.3,"80.1 - 90%"
"1190",2015,2011,4599,"Nashua-Plainfield",45,48,93.8,"90.1 - 100%"
"1191",2012,2008,3942,"Madrid",35,39,89.7,"80.1 - 90%"
"1192",2017,2013,81,"Albia",78,81,96.3,"90.1 - 100%"
"1193",2014,2010,2556,"Graettinger-Terril",25,28,89.3,"80.1 - 90%"
"1194",2012,2008,5724,"Ruthven-Ayrshire",19,19,100,"90.1 - 100%"
"1195",2013,2009,2457,"George-Little Rock",26,27,96.3,"90.1 - 100%"
"1196",2015,2011,5949,"Sheldon",70,75,93.3,"90.1 - 100%"
"1197",2010,2006,3060,"Humboldt",97,105,92.4,"90.1 - 100%"
"1198",2016,2012,3978,"East Mills",40,41,97.6,"90.1 - 100%"
