"","Graduating.Class","Fall.Freshman.Year","District","District.Name","Graduates","Total.Cohort","Graduation.Rate","Graduation.Rate.Category"
"714",2015,2011,4509,"Morning Sun",16,17,94.1,"90.1 - 100%"
"715",2009,2005,2846,"Harris-Lake Park",24,25,96,"90.1 - 100%"
"716",2015,2011,4023,"Manson Northwest Webster",39,43,90.7,"90.1 - 100%"
"717",2011,2007,2088,"Emmetsburg",56,63,88.9,"80.1 - 90%"
"718",2014,2010,720,"Bondurant-Farrar",98,103,95.2,"90.1 - 100%"
"719",2015,2011,4776,"North Mahaska",37,44,84.1,"80.1 - 90%"
"720",2013,2009,5486,"Remsen-Union",25,27,92.6,"90.1 - 100%"
"721",2016,2012,3609,"Lenox",30,30,100,"90.1 - 100%"
"722",2015,2011,4033,"Maple Valley-Anthon Oto",44,47,93.6,"90.1 - 100%"
"723",2011,2007,1701,"Denison",141,175,80.6,"80.1 - 90%"
"724",2014,2010,4043,"Maquoketa Valley",55,55,100,"90.1 - 100%"
"725",2012,2008,4203,"Mediapolis",69,73,94.5,"90.1 - 100%"
"726",2011,2007,6094,"Southeast Warren",37,39,94.9,"90.1 - 100%"
"727",2012,2008,720,"Bondurant-Farrar",97,98,99,"90.1 - 100%"
"728",2013,2009,1449,"Corwith-Wesley",19,20,95,"90.1 - 100%"
"729",2015,2011,4773,"Northeast",72,74,97.3,"90.1 - 100%"
"730",2010,2006,3816,"Lone Tree",38,40,95,"90.1 - 100%"
"731",2014,2010,1602,"Danville",37,40,92.5,"90.1 - 100%"
"732",2012,2008,3042,"Hudson",62,64,96.9,"90.1 - 100%"
"733",2009,2005,977,"Cardinal",49,53,92.5,"90.1 - 100%"
"734",2009,2005,2826,"Harlan",154,164,93.9,"90.1 - 100%"
"735",2016,2012,4878,"Ogden",53,54,98.2,"90.1 - 100%"
"736",2010,2006,6822,"Waukee",288,289,99.7,"90.1 - 100%"
"737",2010,2006,5166,"Pella",157,159,98.7,"90.1 - 100%"
"738",2015,2011,2682,"GMG",35,39,89.7,"80.1 - 90%"
"739",2013,2009,6097,"South Page",14,16,87.5,"80.1 - 90%"
"740",2017,2013,4890,"Okoboji",53,55,96.4,"90.1 - 100%"
"741",2015,2011,18,"Adair-Casey",16,17,94.1,"90.1 - 100%"
"742",2010,2006,3645,"Lewis Central",167,195,85.6,"80.1 - 90%"
"743",2017,2013,1107,"Chariton",94,102,92.2,"90.1 - 100%"
"744",2010,2006,4725,"Newton",239,256,93.4,"90.1 - 100%"
"745",2017,2013,1719,"Denver",55,56,98.2,"90.1 - 100%"
"746",2014,2010,4419,"MFL MarMac",53,58,91.4,"90.1 - 100%"
"747",2010,2006,5463,"Red Oak",91,102,89.2,"80.1 - 90%"
"748",2010,2006,4203,"Mediapolis",58,68,85.3,"80.1 - 90%"
"749",2017,2013,6471,"Tripoli",27,30,90,"80.1 - 90%"
"750",2014,2010,7092,"Woodbine",40,40,100,"90.1 - 100%"
"751",2017,2013,3744,"Lisbon",41,45,91.1,"90.1 - 100%"
"752",2011,2007,4905,"Olin",17,22,77.3,"70.1 - 80%"
"753",2009,2005,6097,"South Page",21,26,80.8,"80.1 - 90%"
"754",2010,2006,234,"Anamosa",104,108,96.3,"90.1 - 100%"
"755",2015,2011,5160,"PCM",75,80,93.8,"90.1 - 100%"
"756",2015,2011,6273,"Sumner-Fredericksburg",55,56,98.2,"90.1 - 100%"
"757",2017,2013,2846,"Harris-Lake Park",25,28,89.3,"80.1 - 90%"
"758",2017,2013,6098,"South Tama County",94,100,94,"90.1 - 100%"
"759",2016,2012,3691,"North Cedar",53,61,86.9,"80.1 - 90%"
"760",2016,2012,6983,"West Lyon",42,44,95.5,"90.1 - 100%"
"761",2014,2010,3537,"Laurens-Marathon",17,18,94.4,"90.1 - 100%"
"762",2013,2009,4775,"Northeast Hamilton",14,15,93.3,"90.1 - 100%"
"763",2016,2012,9,"AGWSR",35,35,100,"90.1 - 100%"
"764",2017,2013,7002,"Whiting",14,14,100,"90.1 - 100%"
"765",2014,2010,1701,"Denison",157,187,84,"80.1 - 90%"
"766",2015,2011,5486,"Remsen-Union",26,27,96.3,"90.1 - 100%"
"767",2017,2013,6512,"Twin Cedars",30,31,96.8,"90.1 - 100%"
"768",2016,2012,1619,"Davis County",89,95,93.7,"90.1 - 100%"
"769",2010,2006,1944,"Eagle Grove",73,78,93.6,"90.1 - 100%"
"770",2010,2006,252,"Anita",27,27,100,"90.1 - 100%"
"771",2011,2007,916,"CAL",20,20,100,"90.1 - 100%"
"772",2015,2011,4068,"Marcus-Meriden-Cleghorn",33,36,91.7,"90.1 - 100%"
"773",2012,2008,1863,"Dubuque",743,840,88.5,"80.1 - 90%"
"774",2015,2011,5751,"St Ansgar",53,53,100,"90.1 - 100%"
"775",2011,2007,355,"Ar-We-Va",23,23,100,"90.1 - 100%"
"776",2017,2013,6822,"Waukee",531,542,98,"90.1 - 100%"
