County,AEA,District,District.Name,Graduation.Year,Diploma.Count,Private.4-Year.College,Public.4-Year.College,Private.2-Year.College,Community.College,Other.Training,Employment,Homemaker,Military,Unknown
78,13,1476,Council Bluffs,2012,628,50,106,205,7,28,55,5,27,145
88,13,1503,Creston,2012,104,9,29,44,1,0,18,0,2,1
25,11,1576,Dallas Center-Grimes,2012,139,25,52,44,0,1,12,0,3,2
29,15,1602,Danville,2012,40,5,4,26,0,1,3,0,1,0
82,9,1611,Davenport,2012,880,73,199,407,8,37,67,0,35,54
26,15,1619,Davis County,2012,88,7,24,38,0,10,3,0,3,3
96,1,1638,Decorah Community,2012,156,58,27,53,0,0,10,0,4,4
23,9,1675,Delwood,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,12,1701,Denison,2012,196,19,40,96,0,5,29,0,2,5
9,7,1719,Denver,2012,56,5,23,25,0,0,2,0,1,0
77,11,1737,Des Moines Independent,2012,1822,176,430,628,37,41,127,6,47,330
80,13,1782,Diagonal,2012,10,0,2,5,0,1,1,0,0,1
38,7,1791,Dike-New Hartford,2012,50,4,11,28,0,1,3,0,3,0
99,7,1854,Dows,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,1,1863,Dubuque,2012,775,141,159,285,3,13,116,2,27,29
7,7,1908,Dunkerton,2012,40,3,11,21,0,0,3,0,1,1
43,13,1917,Boyer Valley,2012,29,5,7,11,0,1,3,0,2,0
16,9,1926,Durant,2012,57,5,22,19,1,0,6,0,1,3
99,5,1944,Eagle Grove,2012,44,1,3,26,0,0,5,0,3,6
61,11,1953,Earlham,2012,32,6,5,16,0,1,3,0,1,0
10,7,1963,East Buchanan,2012,42,4,15,17,0,0,5,0,1,0
49,9,1965,East Central,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,5,1967,East Greene,2012,1,0,0,0,0,0,1,0,0,0
64,7,1968,East Marshall,2012,67,7,10,32,1,7,8,0,1,1
88,13,1970,East Union,2012,31,4,2,19,0,1,3,0,2,0
3,1,1972,Eastern Allamakee,2012,34,3,8,16,2,1,2,0,1,1
97,12,1975,River Valley,2012,26,2,5,12,2,3,0,0,1,1
28,1,1989,Edgewood-Colesburg,2012,44,8,9,0,11,2,11,0,3,0
42,7,2007,Eldora-New Providence,2012,73,2,12,39,0,6,12,0,1,1
83,13,2016,Elk Horn-Kimballton,2012,30,0,9,14,2,2,0,0,3,0
74,5,2088,Emmetsburg,2012,53,4,8,35,0,1,2,0,0,3
48,10,2097,English Valleys,2012,35,1,6,21,0,1,5,0,1,0
73,13,2113,Essex,2012,16,3,1,10,0,0,1,0,1,0
32,5,2124,Estherville Lincoln,2012,75,5,22,28,0,4,11,0,0,5
5,11,2151,Exira,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,15,2169,Fairfield,2012,124,17,31,50,0,4,5,1,1,15
36,13,2205,Farragut,2012,39,1,11,12,0,6,0,1,3,5
95,7,2295,Forest City,2012,88,13,21,34,0,2,14,0,2,2
94,5,2313,Fort Dodge,2012,247,16,33,135,0,6,31,5,7,14
56,15,2322,Fort Madison,2012,154,11,29,61,0,3,30,2,14,4
19,1,2349,Fredericksburg,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,13,2369,Fremont-Mills,2012,41,0,40,0,0,0,0,0,0,1
47,12,2376,Galva-Holstein,2012,58,9,12,28,2,0,2,0,1,4
41,7,2403,Garner-Hayfield,2012,84,16,15,38,1,2,7,0,5,0
60,12,2457,George-Little Rock,2012,29,6,4,13,0,1,4,0,1,0
85,11,2466,Gilbert,2012,97,14,51,16,0,2,12,0,2,0
46,5,2493,Gilmore City-Bradgate,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,7,2502,Gladbrook-Reinbeck,2012,38,8,10,11,0,1,5,0,0,3
65,13,2511,Glenwood,2012,159,17,44,61,0,4,13,0,9,11
14,11,2520,Glidden-Ralston,2012,30,5,6,12,0,2,3,1,1,0
74,5,2556,Graettinger-Terril,2012,20,3,3,10,0,1,2,0,1,0
1,13,2673,Nodaway Valley,2012,59,6,14,29,0,2,6,0,2,0
86,7,2682,GMG,2012,23,0,4,15,3,0,0,0,1,0
79,7,2709,Grinnell-Newburg,2012,137,41,24,42,0,5,5,0,6,14
15,13,2718,Griswold,2012,45,11,7,18,1,0,3,0,3,2
38,7,2727,Grundy Center,2012,50,4,10,24,0,2,1,0,1,8
39,11,2754,Guthrie Center,2012,33,1,8,9,1,3,8,0,3,0
22,1,2763,Clayton Ridge,2012,54,7,6,22,0,0,17,0,1,1
48,10,2766,H-L-V,2012,21,3,6,8,0,0,2,0,2,0
36,13,2772,Hamburg,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,7,2781,Hampton-Dumont,2012,89,0,32,37,0,0,8,0,4,8
83,13,2826,Harlan,2012,126,10,47,41,0,8,12,0,6,2
89,15,2834,Harmony,2012,21,1,5,5,2,0,6,0,1,1
30,5,2846,Harris-Lake Park,2012,17,6,1,7,0,2,1,0,0,0
71,12,2862,Hartley-Melvin-Sanborn,2012,49,7,15,17,0,0,8,0,1,1
92,10,2977,Highland,2012,47,7,2,33,0,0,3,0,1,1
75,12,2988,Hinton,2012,37,12,12,7,0,1,2,0,3,0
45,1,3029,Howard-Winneshiek,2012,98,16,33,30,0,4,9,0,3,3
42,7,3033,Hubbard-Radcliffe,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,7,3042,Hudson,2012,54,3,23,18,5,0,0,0,2,3
46,5,3060,Humboldt,2012,94,6,27,46,0,3,6,0,2,4
10,7,3105,Independence,2012,105,5,28,36,2,0,31,0,2,1
91,11,3114,Indianola,2012,243,40,67,76,4,7,23,0,9,17
61,11,3119,Interstate 35,2012,66,12,12,30,0,1,9,0,2,0
52,10,3141,Iowa City,2012,817,146,329,203,2,11,36,1,16,73
42,7,3150,Iowa Falls,2012,97,10,19,55,2,0,7,0,2,2
48,10,3154,Iowa Valley,2012,44,1,11,27,0,1,0,0,0,4
24,13,3168,IKM-Manning,2012,56,9,17,22,0,5,1,0,1,1
9,7,3186,Janesville Consolidated,2012,20,5,1,11,0,0,0,0,1,2
37,5,3195,Jefferson-Scranton,2012,81,11,18,40,1,1,7,0,3,0
10,7,3204,Jesup,2012,46,10,13,18,0,0,1,0,3,1
77,11,3231,Johnston,2012,379,60,143,109,2,7,30,0,8,20
56,15,3312,Keokuk,2012,162,10,38,57,0,11,25,0,7,14
54,15,3330,Keota,2012,19,1,6,6,0,1,4,0,0,1
75,12,3348,Kingsley-Pierson,2012,40,9,6,18,1,0,4,0,2,0
63,11,3375,Knoxville,2012,128,11,26,50,3,2,17,0,8,11
95,7,3420,Lake Mills,2012,46,4,9,27,0,1,4,0,0,1
27,13,3465,Lamoni,2012,27,15,1,4,6,0,1,0,0,0
76,5,3537,Laurens-Marathon,2012,26,3,8,10,0,0,3,0,2,0
97,12,3555,Lawton-Bronson,2012,46,8,5,22,0,0,2,0,7,2
75,12,3600,Le Mars,2012,168,14,71,48,0,7,22,0,6,0
87,13,3609,Lenox,2012,25,1,6,14,0,0,4,0,0,0
